Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,algorithm,leaf_size,n_neighbors,p,weights
0.9982435200541295,0.0005420155503018159,68.86103979790263,21.249177634031707,3.124671231273107,0.15393336011562012,3.0149795055389403,0.7108582733950198,177.57116458415985,22.65438405937459,ball_tree,70,7,1,distance
0.9982429869727414,0.0005419294900417263,68.88193872064215,21.245803727595444,3.1245641043469075,0.15344232756011336,2.7722336053848267,0.4324073407780453,168.70994658470153,21.911518144485843,kd_tree,70,7,1,distance
0.9982121958580976,0.00045553529110508743,70.08907357914305,17.858805552484593,3.448005185887446,0.13470276742497078,3.12566659450531,0.26558687998806907,220.0849498987198,12.288670658106417,ball_tree,10,10,1,distance
0.9982119872385609,0.00045627043657317214,70.09725229945762,17.887626195415393,3.44695796256481,0.1350003822332955,2.807556223869324,0.27872057279762724,210.77978205680847,3.5632174470111777,kd_tree,10,10,1,distance
0.9981985982661638,0.0008990151596494053,70.62215357331438,35.244990318895475,2.716864794296774,0.16063135276135446,2.900014805793762,0.309395225338992,198.35808470249177,16.14239621778761,ball_tree,70,4,1,distance
0.9981985882702907,0.0008993013912587369,70.62254545151477,35.2562117429062,2.7161720606705773,0.16029601827782064,2.951707363128662,0.38933129200137595,142.58787925243377,6.682453606982494,kd_tree,70,4,1,distance
0.9981942152696509,0.0006939744034736964,70.79398456861067,27.206572513783563,2.9889375784734984,0.1570902334409486,2.9549557685852053,0.4959647042165286,194.75011937618257,22.929857641134774,ball_tree,70,6,1,distance
0.998194023986411,0.0006945821063921359,70.80148363674861,27.23039689899649,2.98911665243106,0.1572173939915749,2.960129737854004,0.588350958393375,154.7594197034836,20.54016071690729,kd_tree,70,6,1,distance
0.9981907757331978,0.0004891761094396014,70.92882815570985,19.177660194470693,3.61784015642705,0.1351295009593854,3.032910203933716,0.5046331955884611,183.72281064987183,21.68823832362023,kd_tree,70,12,1,distance
0.9981904426898351,0.0004884017043874868,70.94188478770276,19.14730041880727,3.6185789135489324,0.13323249880431307,2.7779560565948485,0.2988404813215747,198.52110469341278,17.72719299988382,ball_tree,70,12,1,distance
0.9981853127165605,0.000667334426761906,71.14300025995833,26.162178866773566,3.242644780668053,0.15820378887014105,2.868274211883545,0.3299481358289907,189.17156777381896,18.15434259504734,ball_tree,30,8,1,distance
0.9981853127165605,0.000667334426761906,71.14300025995833,26.162178866773566,3.242644780668053,0.15820378887014105,2.8878796100616455,0.388976648747836,195.45229325294494,20.108622509221764,ball_tree,50,8,1,distance
0.9981845427379141,0.0006672537033280717,71.17318650281591,26.159014185274742,3.2431585586299008,0.15763874340951164,2.926159882545471,0.38239098221545464,164.28941910266877,12.121501365520775,kd_tree,50,8,1,distance
0.9981845427379141,0.0006672537033280717,71.17318650281591,26.159014185274742,3.2431585586299008,0.15763874340951164,2.93699996471405,0.2975309581781588,174.3554832458496,16.90986861195207,kd_tree,30,8,1,distance
0.998184343372995,0.0005586609097998873,71.1810024051001,21.901742307796052,3.24460937571514,0.1530375142542944,2.8403844833374023,0.4071312711405624,194.48745305538176,10.166865487666557,ball_tree,70,8,1,distance
0.9981836312974179,0.0005567766577554491,71.2089186160267,21.82787209064453,3.2452423571255675,0.15151985063716036,2.956961226463318,0.25847028231391767,173.93434402942657,11.297458374398131,kd_tree,70,8,1,distance
0.9981727980608833,0.0005707242761176962,71.63362482112807,22.374674520917093,2.875508988923958,0.1336844046534428,2.8449649572372437,0.3534647275731571,170.06729893684388,7.637238427578461,kd_tree,10,5,1,distance
0.9981727104890525,0.0005709353043842741,71.63705798718378,22.38294767308225,2.8756248239162865,0.13491341491794479,3.080425262451172,0.4057407257522169,180.84804434776305,15.942500582939473,ball_tree,10,5,1,distance
0.9981724355532501,0.0005209601828443693,71.64783657038197,20.42372300823107,3.254300751121669,0.14559451559489017,3.5717180252075194,0.4075346456140755,213.09083862304686,18.967155065860354,ball_tree,10,8,1,distance
0.9981722213506208,0.0005210346827857511,71.65623417026174,20.42664370393189,3.2545275166968612,0.14541802606079876,2.660422515869141,0.32044842786082056,199.72185332775115,3.95493186404422,kd_tree,10,8,1,distance
0.9981657516937184,0.0009014183232926163,71.90987059946285,35.33920394636402,2.856425998385978,0.1780988247515044,2.8635831117630004,0.47371329267248113,137.7107957839966,19.556649385800995,kd_tree,70,5,1,distance
0.9981652124020411,0.0009017999349709794,71.93101299038078,35.354164650600985,2.8580546040096237,0.17836378071509837,3.4117089748382567,0.8074071594150104,212.2972681045532,37.64545848421638,ball_tree,70,5,1,distance
0.9981626837705199,0.0003797041792913502,72.03014546053551,14.88592264493925,3.8503170433313327,0.13661800325458914,2.9329871416091917,0.29003886932964135,207.50984342098235,15.903228531995758,ball_tree,70,15,1,distance
0.9981618695004867,0.0006417008073564119,72.06206810292109,25.157238451600037,2.7421134600355117,0.12360663285248594,2.7003938436508177,0.2866938553005316,153.13096330165862,4.199832549887026,kd_tree,10,4,1,distance
0.9981614755348862,0.0003807516192851552,72.07751313031982,14.926986482453453,3.8522994315043286,0.13796210385078708,3.1183600664138793,0.5342768936884491,196.58138744831086,22.794112852424778,kd_tree,70,15,1,distance
0.9981604573342758,0.0006420846666810945,72.11743066704892,25.172287272564475,2.7436702679078753,0.12297108585710398,3.5521291732788085,0.3348366656772687,191.01311979293823,20.09219341120245,ball_tree,10,4,1,distance
