Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,algorithm,leaf_size,n_neighbors,p,weights
0.9982435200541295,0.0005420155503018159,68.86103979790263,21.249177634031707,3.124671231273107,0.15393336011562012,2.5043144702911375,0.36153735436114803,129.91149814128875,19.965705258825256,ball_tree,70,7,1,distance
0.998194023986411,0.0006945821063921359,70.80148363674861,27.23039689899649,2.98911665243106,0.1572173939915749,2.5904248714447022,0.23744411511199928,117.78230698108673,9.550377099714773,kd_tree,70,6,1,distance
0.9981853127165605,0.000667334426761906,71.14300025995833,26.162178866773566,3.242644780668053,0.15820378887014105,2.2075255870819093,0.13897181776238254,111.41509993076325,4.739256757740211,ball_tree,30,8,1,distance
0.9981845427379141,0.0006672537033280717,71.17318650281591,26.159014185274742,3.2431585586299008,0.15763874340951164,2.1539260864257814,0.10337325528835407,114.42017772197724,1.855808772551677,kd_tree,30,8,1,distance
0.9981845427379141,0.0006672537033280717,71.17318650281591,26.159014185274742,3.2431585586299008,0.15763874340951164,2.221173357963562,0.19213015857540702,117.97829360961914,5.166469834681864,kd_tree,50,8,1,distance
0.998184343372995,0.0005586609097998873,71.1810024051001,21.901742307796052,3.24460937571514,0.1530375142542944,2.554415392875671,0.33612845159422117,129.70429215431213,10.597011115197706,ball_tree,70,8,1,distance
0.9981724355532501,0.0005209601828443693,71.64783657038197,20.42372300823107,3.254300751121669,0.14559451559489017,2.5525544404983522,0.22370454613686705,113.61842691898346,7.3586565017554335,ball_tree,10,8,1,distance
0.9981657516937184,0.0009014183232926163,71.90987059946285,35.33920394636402,2.856425998385978,0.1780988247515044,2.056745743751526,0.2219932727580717,94.87175991535187,6.410793179464654,kd_tree,70,5,1,distance
0.9981626837705199,0.0003797041792913502,72.03014546053551,14.88592264493925,3.8503170433313327,0.13661800325458914,2.3099369764328004,0.16160660742543362,120.43712499141694,6.600912340050243,ball_tree,70,15,1,distance
0.9981524111790033,0.0005148866882912202,72.43287213835187,20.185617727768243,3.4511611295235367,0.13303251337002728,2.50166277885437,0.2666621682745192,116.19802350997925,5.8369470134298895,kd_tree,70,10,1,distance
0.998145420901262,0.0009269259654241726,72.70691898692539,36.33920554848959,2.5826891658824906,0.16607397680888294,2.1249449014663697,0.2715871865936648,103.08923482894897,5.583709399351218,ball_tree,70,3,1,distance
0.9981406315986253,0.00042842708500778683,72.89467880749073,16.79605544064659,3.6245150637806605,0.1302037033037062,2.385458731651306,0.21495753237513343,198.7794000864029,4.664630819629299,kd_tree,10,12,1,distance
0.9981401672135792,0.0004281766998090793,72.9128845588437,16.786239339315546,3.625557575275261,0.13099566654829853,2.587760901451111,0.30667671215666414,117.88609919548034,8.832310435721707,ball_tree,10,12,1,distance
0.9981373531180998,0.0005947829165076237,73.02320835801189,23.317869458765095,3.0095132230002006,0.1393399765832182,2.37413067817688,0.19886088545567504,107.74954988956452,5.825057766343325,ball_tree,10,6,1,distance
0.9981370109531379,0.0003832292719146435,73.03662259318108,15.024120376141907,3.8546398509218927,0.137804524904362,2.2253098487854004,0.132527620794131,206.54943678379058,3.829532207140227,kd_tree,10,15,1,distance
0.9981365588395468,0.0005954892708257104,73.05434725440911,23.34556137345302,3.0102433242404674,0.1393828519747848,2.928192210197449,0.46683651628806205,170.52565050125122,4.309804558308939,kd_tree,10,6,1,distance
0.9981336112909045,0.0006064333483689421,73.1699029513836,23.774612989454823,3.454276796456047,0.1382627115672919,2.793530797958374,0.525778607576594,118.97620930671692,8.619589149154526,ball_tree,50,10,1,distance
0.9981330596610273,0.000606737401449245,73.19152904908809,23.786533086415048,3.4545272621507612,0.13796844683132523,2.15829484462738,0.183224675688438,123.9191586971283,7.346460770581044,kd_tree,30,10,1,distance
0.9981103587606411,0.0006835471911472073,74.08149514782207,26.797784081734314,2.7478851785926808,0.13507557151924263,0.5877198934555053,0.08450446114259426,144.59004945755004,23.50783254049117,brute,70,4,1,distance
0.9981043849201612,0.0005196993919671938,74.31569358999973,20.37429496268204,3.6345682566718924,0.13253673884828682,0.45475709438323975,0.08141254486232262,103.9001238822937,10.112979792254322,brute,10,12,1,distance
0.9981011014480672,0.0009194236549525154,74.44441882997748,36.045084968759035,2.7340129762072003,0.17188773501323462,2.456996703147888,0.266576616995997,108.81369969844818,9.384544544233664,ball_tree,70,3,1,uniform
0.9980928074684168,0.0009061400346708466,74.76957600818929,35.52431391923656,3.13732861016112,0.17934602748243528,2.2028618097305297,0.1347583996179826,113.72211813926697,3.284186595797182,kd_tree,30,7,1,distance
0.9980926082272906,0.0009059507029968109,74.77738705729564,35.51689136028713,3.1365608499644604,0.17966920594876673,2.7296183824539186,0.33418358037055995,123.32380344867707,7.158358271362608,ball_tree,50,7,1,distance
0.998090268483434,0.0006787704768367544,74.86911437546242,26.610517773907397,2.8891313681125355,0.14802429633461134,0.48144757747650146,0.09335471305934406,99.57495474815369,10.573838013143156,brute,50,5,1,distance
0.998086816715633,0.0005224003500881882,75.0044374803245,20.4801833248584,3.86053520119529,0.14773987020669052,2.338551902770996,0.22416825213548483,116.56574478149415,10.113364777173738,ball_tree,30,15,1,distance
0.9980847821203443,0.0006953749201251994,75.08420175401915,27.26147836858932,3.156229822701639,0.1474049311863834,0.4301966428756714,0.0524462241897143,91.28025014400482,5.689023062447712,brute,70,7,1,distance
0.9980847821203443,0.0006953749201251994,75.08420175401915,27.26147836858932,3.156229822701639,0.1474049311863834,0.47565009593963625,0.05857492187384891,107.36993007659912,12.207554096388368,brute,10,7,1,distance
