Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,bootstrap,criterion,max_features,min_samples_split,n_estimators,oob_score,warm_start
0.9979740461662602,0.00037054125348431703,37.74807831869968,6.904017270233382,2.700010465356894,0.13182071796456996,32.43341519832611,1.1066461889387909,0.23387057781219484,0.04845510878234426,True,mse,,2,25,False,True
0.9979740461662602,0.00037054125348431703,37.74807831869968,6.904017270233382,2.700010465356894,0.13182071796456996,35.10044255256653,3.1195207089485275,0.2336362600326538,0.056509677313602645,True,mse,,2,25,True,True
0.9979740461662602,0.00037054125348431703,37.74807831869968,6.904017270233382,2.700010465356894,0.13182071796456996,35.1917222738266,1.053469949525032,0.2749833583831787,0.030202610712922667,True,mse,,2,25,True,False
0.9979527715036927,0.0003796611689689522,38.14447315032122,7.0739418155213745,2.7367295200404147,0.14494772549015672,26.296275043487547,1.5322373925374395,0.20368285179138185,0.06787558915648195,True,mse,,2,20,False,True
0.9979527715036927,0.0003796611689689522,38.14447315032122,7.0739418155213745,2.7367295200404147,0.14494772549015672,27.02114336490631,1.3472266313496832,0.2239135980606079,0.04105715168856613,True,mse,,2,20,False,False
0.9979367379403307,0.00034201201470139645,38.44321451127318,6.372453360920232,2.8027649992067447,0.13661245325373259,26.771150207519533,1.3413244265410056,0.23254139423370362,0.05423079908832289,True,mse,,5,20,True,True
0.9979346322135184,0.0003836797698531478,38.48244893967142,7.148817391846062,2.7526214545674583,0.15070932309039112,25.42020924091339,0.8235487644022008,0.2466958284378052,0.05880425856072478,True,mse,,2,18,False,False
0.9979346322135184,0.0003836797698531478,38.48244893967142,7.148817391846062,2.7526214545674583,0.15070932309039112,26.51097195148468,0.9804044886226503,0.20888130664825438,0.0760274358538848,True,mse,,2,18,False,True
0.9979144976457288,0.0003720726166178355,38.85760124036882,6.932550010978395,2.784465010555624,0.15182228234199038,21.09383955001831,0.5476378336553083,0.17854633331298828,0.03507238709395628,True,mse,,2,15,True,False
0.9979019340095969,0.00039260530750815227,39.09169004968654,7.3151202408189056,2.8728712722676226,0.13435894519273553,31.868030738830566,2.5411268166609147,0.23259787559509276,0.05363540592052826,True,mse,,8,25,False,False
0.9979019340095969,0.00039260530750815227,39.09169004968654,7.3151202408189056,2.8728712722676226,0.13435894519273553,32.10419495105744,0.7186439918214212,0.23159022331237794,0.047703779766092184,True,mse,,8,25,False,True
0.9979019340095969,0.00039260530750815227,39.09169004968654,7.3151202408189056,2.8728712722676226,0.13435894519273553,32.57650816440582,1.6097219572060912,0.20175786018371583,0.05063677165004741,True,mse,,8,25,True,False
0.9978946050222759,0.00033847705774047137,39.22824557369964,6.306589159084555,2.8542666229924603,0.12703284232018786,20.21246120929718,1.3484150868581615,0.17820351123809813,0.0375025593631223,True,mse,,5,15,False,True
0.9978946050222759,0.00033847705774047137,39.22824557369964,6.306589159084555,2.8542666229924603,0.12703284232018786,21.20359492301941,1.1783109518785524,0.18312265872955322,0.06640746800617203,True,mse,,5,15,False,False
0.9978946050222759,0.00033847705774047137,39.22824557369964,6.306589159084555,2.8542666229924603,0.12703284232018786,21.718905401229858,2.1107471080376734,0.19553427696228026,0.05870157568102595,True,mse,,5,15,True,False
0.9978861735569279,0.0003968009280211636,39.38534274393048,7.3932940911227325,2.902828402142688,0.13934591687140033,23.07221736907959,0.42415355456855786,0.1860529899597168,0.039363744648082295,True,mse,,8,20,False,True
0.9978814600399323,0.0003035519429371472,39.47316617097334,5.655855688790494,3.283161699095494,0.13541663710479568,2.8997248649597167,0.09143763879807518,0.2041670560836792,0.038279647599668426,True,mse,sqrt,2,20,False,False
0.9978814600399323,0.0003035519429371472,39.47316617097334,5.655855688790494,3.283161699095494,0.13541663710479568,3.0910687923431395,0.180505992830769,0.21062173843383789,0.0438002444802605,True,mse,sqrt,2,20,False,True
0.9978814600399323,0.0003035519429371472,39.47316617097334,5.655855688790494,3.283161699095494,0.13541663710479568,4.511394286155701,0.5105229593395658,0.25393080711364746,0.031387695631223844,True,mse,sqrt,2,20,True,True
0.9978741723449528,0.00040251914487831806,39.608952325754345,7.4998373371586595,2.824298130376391,0.15606918274046147,15.97282919883728,0.8283488698093138,0.18489325046539307,0.04002433115236239,True,mse,,2,12,False,True
0.9978741723449528,0.00040251914487831806,39.608952325754345,7.4998373371586595,2.824298130376391,0.15606918274046147,16.413802456855773,1.072592675571743,0.16939518451690674,0.02252927419470479,True,mse,,2,12,False,False
0.9978677365522847,0.00040204685429613387,39.72886562369467,7.491037500959104,2.9171000473081707,0.14639034814262689,23.44146385192871,0.9406938986237625,0.18788058757781984,0.043282193965703895,True,mse,,8,18,True,False
0.9978677365522847,0.00040204685429613387,39.72886562369467,7.491037500959104,2.9171000473081707,0.14639034814262689,24.767842745780946,1.3599282872158072,0.1941526174545288,0.07177677450789875,True,mse,,8,18,True,True
0.9978628899834897,0.00037720512401098353,39.819168105122074,7.02818017185401,2.9676962689854594,0.12774493032673664,31.266310119628905,1.0212145506111021,0.20047519207000733,0.047173903033038374,True,mse,,10,25,False,False
0.9978628899834897,0.00037720512401098353,39.819168105122074,7.02818017185401,2.9676962689854594,0.12774493032673664,32.01324589252472,1.5719774057763902,0.20219213962554933,0.03902444257390474,True,mse,,10,25,True,False
0.9978583447537475,0.0004810407469564767,39.903855961990466,8.962871457479654,2.7756539184391786,0.14171564797711686,5056.317757701874,72.10697727821689,0.32921011447906495,0.08325057103868255,True,mae,,2,20,False,True
