Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,bootstrap,criterion,max_features,min_samples_split,n_estimators,oob_score,warm_start
0.9980939318846875,0.0002855548898551953,35.51433764153223,5.320530096504445,2.9939385861803895,0.11063774011941398,3.817041206359863,0.11073691290633914,0.2517812490463257,0.03824710368135864,True,mse,sqrt,2,25,False,False
0.9980939318846875,0.0002855548898551953,35.51433764153223,5.320530096504445,2.9939385861803895,0.11063774011941398,5.804541230201721,0.37640296371782134,0.33420846462249754,0.0869273404079793,True,mse,sqrt,2,25,True,True
0.9980528759004222,0.00030474301715424255,36.27930300435894,5.678048081372433,3.049582396573854,0.12466796486058872,4.130665683746338,0.3727393505164554,0.18298535346984862,0.04408110797097237,True,mse,sqrt,2,20,True,True
0.9980528759004222,0.00030474301715424255,36.27930300435894,5.678048081372433,3.049582396573854,0.12466796486058872,4.395586681365967,0.20816671643858972,0.22571375370025634,0.06929406382484087,True,mse,sqrt,2,20,True,False
0.9980457191608822,0.000294871910493442,36.41264916465064,5.494127154290497,3.1223647279584896,0.10399537874406956,3.518617796897888,0.19603080401350761,0.19634406566619872,0.0447214485989096,True,mse,sqrt,4,25,False,True
0.9980457191608822,0.000294871910493442,36.41264916465064,5.494127154290497,3.1223647279584896,0.10399537874406956,3.837878441810608,0.3404498718411272,0.23417422771453858,0.06209439421485482,True,mse,sqrt,4,25,False,False
0.9980457191608822,0.000294871910493442,36.41264916465064,5.494127154290497,3.1223647279584896,0.10399537874406956,4.756064701080322,0.201116567116065,0.23866536617279052,0.05561123989688424,True,mse,sqrt,4,25,True,True
0.9980457191608822,0.000294871910493442,36.41264916465064,5.494127154290497,3.1223647279584896,0.10399537874406956,5.93160662651062,0.3952860470650029,0.34298975467681886,0.07739514498563732,True,mse,sqrt,4,25,True,False
0.9980197676231277,0.000406440338986143,36.89618470397976,7.572898006074169,3.0428433875066943,0.12466463942856824,254.01045715808868,5.922405670713557,0.26625728607177734,0.08272621372279614,True,mae,sqrt,2,25,True,False
0.9980197676231277,0.000406440338986143,36.89618470397976,7.572898006074169,3.0428433875066943,0.12466463942856824,257.64401350021365,4.636361324565506,0.25581409931182864,0.06589217311667779,True,mae,sqrt,2,25,False,False
0.9980157868207639,0.00029466276691862345,36.97035600882066,5.490230338919235,3.169524195791249,0.1035393371151561,4.0229474067687985,0.22432453658484516,0.21598241329193116,0.040161877932923445,True,mse,sqrt,4,20,True,True
0.9979794859314534,0.0002966579296094525,37.646723253675276,5.52740470896529,3.233217416313773,0.11374687577533246,3.555246424674988,0.276768014343543,0.2312720537185669,0.07588479725612664,True,mse,sqrt,6,25,False,True
0.9979794859314534,0.0002966579296094525,37.646723253675276,5.52740470896529,3.233217416313773,0.11374687577533246,4.1217636346817015,0.08581906219352159,0.1608604907989502,0.03289847103392443,True,mse,sqrt,6,25,True,False
0.9979727877978284,0.0004024984788315593,37.77152455391238,7.499452282208882,3.092227248393552,0.13199702539254785,203.67406973838806,5.365151659452804,0.20785019397735596,0.05451772160999348,True,mae,sqrt,2,20,True,False
0.9979727877978284,0.0004024984788315593,37.77152455391238,7.499452282208882,3.092227248393552,0.13199702539254785,209.2572410106659,4.524784508098027,0.215985107421875,0.07818060863228003,True,mae,sqrt,2,20,True,True
0.9979648841048323,0.00037506339713718595,37.91878813773863,6.988274981309524,3.1332459544701816,0.11901121640192315,253.7479611158371,5.941258744280907,0.24337546825408934,0.05731955348653721,True,mae,sqrt,4,25,False,True
0.9979555095519954,0.0004251572454418645,38.09345714983458,7.921636086384072,2.6266002002530757,0.1470418470031021,39.70995683670044,1.2395463253834362,0.23561334609985352,0.05018760077436763,True,mse,,2,25,True,False
0.9979555095519954,0.0004251572454418645,38.09345714983458,7.921636086384072,2.6266002002530757,0.1470418470031021,40.05996811389923,0.5100549018902809,0.2539951324462891,0.08725620433167866,True,mse,,2,25,False,True
0.9979533564844393,0.0003011091526138185,38.13357364280684,5.610341008789183,3.235728426641336,0.11348289170699169,2.213242244720459,0.06510442648048785,0.18843441009521483,0.0720000719321951,True,mse,sqrt,4,15,False,False
0.9979533564844393,0.0003011091526138185,38.13357364280684,5.610341008789183,3.235728426641336,0.11348289170699169,2.2854851961135862,0.07085099307671912,0.15021631717681885,0.023209511543599248,True,mse,sqrt,4,15,False,True
0.9979533564844393,0.0003011091526138185,38.13357364280684,5.610341008789183,3.235728426641336,0.11348289170699169,2.8797905921936033,0.202190592367513,0.19778146743774414,0.06285261918995752,True,mse,sqrt,4,15,True,False
0.9979476099448826,0.0003635826192929905,38.24064460446076,6.774362258321729,3.1884336972696556,0.1124074109213053,204.22094044685363,4.647396222782825,0.20898861885070802,0.03846062486131339,True,mae,sqrt,4,20,False,False
0.9979476099448826,0.0003635826192929905,38.24064460446076,6.774362258321729,3.1884336972696556,0.1124074109213053,204.5620759487152,5.517323009417387,0.2199094772338867,0.03631964854733732,True,mae,sqrt,4,20,True,True
0.9979476099448826,0.0003635826192929905,38.24064460446076,6.774362258321729,3.1884336972696556,0.1124074109213053,205.36623792648317,4.31052499209232,0.19825391769409179,0.032558861627528676,True,mae,sqrt,4,20,True,False
0.9979476099448826,0.0003635826192929905,38.24064460446076,6.774362258321729,3.1884336972696556,0.1124074109213053,205.7295931339264,5.114193229550106,0.2275716781616211,0.0565819805833642,True,mae,sqrt,4,20,False,True
0.9979462530789435,0.0004302099242639406,38.26592606985636,8.015778861367464,2.654524723650598,0.1548862601097223,31.824141573905944,0.6102329266969767,0.20817463397979735,0.05387018848525729,True,mse,,2,20,False,False
