fit_time,score_time,test_nbaccuracy,test_accuracy
20.807936191558838,0.03163909912109375,0.9884232590027608,0.9859154929577465
20.804049730300903,0.03447556495666504,0.9844173620090773,0.9810165339865279
20.72496795654297,0.035099029541015625,0.9785503726033429,0.9779546846295162
22.40237593650818,0.05046963691711426,0.9823325777785332,0.9840783833435395
32.55173873901367,0.033977508544921875,0.9842981491611461,0.9816289038579302
22.647176027297974,0.031969308853149414,0.9826758832519445,0.9785670545009185
34.34225654602051,0.03375887870788574,0.9820446808400082,0.9816176470588235
28.76047110557556,0.03203010559082031,0.9933811302863494,0.9920343137254902
34.46981739997864,0.039666175842285156,0.9850741421732986,0.9852941176470589
28.97636651992798,0.03894782066345215,0.9830241690029003,0.9865196078431373
