fit_time,score_time,test_nbaccuracy,test_accuracy
0.5379865169525146,0.16174602508544922,0.6245785585655936,0.6264543784445805
0.5745227336883545,0.16006016731262207,0.6367948071738565,0.6362522963870177
0.5442099571228027,0.1603095531463623,0.6423960915477177,0.6521739130434783
0.5464413166046143,0.15961599349975586,0.634403790641586,0.6325780771586038
0.5487966537475586,0.16112565994262695,0.6120831670412562,0.6062461726883037
0.5461304187774658,0.15862441062927246,0.6484845642508849,0.6527862829148806
0.5475063323974609,0.16499543190002441,0.6312575863566101,0.6372549019607843
0.5666069984436035,0.15904998779296875,0.6121548377775647,0.6115196078431373
0.5479733943939209,0.15869832038879395,0.6167248173347304,0.6207107843137255
0.5526187419891357,0.15831446647644043,0.637767364142975,0.6439950980392157
