fit_time,score_time,test_nbaccuracy,test_accuracy
0.18472695350646973,0.015734195709228516,0.7186803801574313,0.7293325168401714
0.18117737770080566,0.015831470489501953,0.7269191720013449,0.7379056950398041
0.180389404296875,0.0151519775390625,0.7410551109943686,0.7544396815676668
0.1807267665863037,0.015345335006713867,0.7319814021246607,0.739742804654011
0.1902012825012207,0.015612363815307617,0.7163179649684499,0.7281077770973668
0.17863702774047852,0.015494585037231445,0.7591726640154046,0.7587262706674831
0.1801280975341797,0.015107154846191406,0.7117822276293662,0.7261029411764706
0.17682576179504395,0.01530313491821289,0.7272581143453737,0.7334558823529411
0.18870019912719727,0.015159368515014648,0.7262862089197423,0.7389705882352942
0.17992162704467773,0.016112089157104492,0.7296915047016529,0.7493872549019608
