Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,bootstrap,criterion,max_features,n_estimators,oob_score,warm_start
0.9974253581326387,0.0004725674880220523,47.97137093314339,8.804995578699003,3.133916254988314,0.18320368749043564,9.610255432128906,0.3040995112528682,0.1515249252319336,0.02523641087096207,True,mse,,4,False,True
0.9974253581326387,0.0004725674880220523,47.97137093314339,8.804995578699003,3.133916254988314,0.18320368749043564,10.336125326156616,0.6633741289763572,0.16246364116668702,0.02000423415589459,True,mse,,4,True,False
0.9974253581326387,0.0004725674880220523,47.97137093314339,8.804995578699003,3.133916254988314,0.18320368749043564,10.953456258773803,2.013864955328172,0.1718350648880005,0.024200559684398028,True,mse,,4,False,False
0.9974253581326387,0.0004725674880220523,47.97137093314339,8.804995578699003,3.133916254988314,0.18320368749043564,12.825735282897949,3.5441695843715744,0.193705415725708,0.06295294826038113,True,mse,,4,True,True
0.9971826397502727,0.0005480032885669142,52.49376051298417,10.210534273401066,3.243486821862812,0.15170797710538814,393.4038372278213,34.166994810038844,0.08805630207061768,0.013017990102933105,True,mae,,4,False,False
0.9971826397502727,0.0005480032885669142,52.49376051298417,10.210534273401066,3.243486821862812,0.15170797710538814,475.0401757478714,108.7551368169912,0.08869097232818604,0.020250732948588136,True,mae,,4,False,True
0.9971826397502727,0.0005480032885669142,52.49376051298417,10.210534273401066,3.243486821862812,0.15170797710538814,593.0202501773834,38.03132323429418,0.10375466346740722,0.016917241716455145,True,mae,,4,True,True
0.9971826397502727,0.0005480032885669142,52.49376051298417,10.210534273401066,3.243486821862812,0.15170797710538814,1127.1635459184647,642.4927737837181,0.17134716510772705,0.09322910797338993,True,mae,,4,True,False
0.9970320668466598,0.00042772375433745114,55.29927249632186,7.96945592175347,3.922352381862057,0.19876134398185102,2.3537762641906737,0.27717623503080685,0.1812049388885498,0.04025199262578756,True,mse,sqrt,4,True,True
0.9970320668466598,0.00042772375433745114,55.29927249632186,7.96945592175347,3.922352381862057,0.19876134398185102,2.390065622329712,0.2901548468764694,0.20464086532592773,0.029183446318470817,True,mse,sqrt,4,False,True
0.9970320668466598,0.00042772375433745114,55.29927249632186,7.96945592175347,3.922352381862057,0.19876134398185102,2.411937427520752,0.5018909504210887,0.2015157461166382,0.027460857595151215,True,mse,sqrt,4,False,False
0.9970320668466598,0.00042772375433745114,55.29927249632186,7.96945592175347,3.922352381862057,0.19876134398185102,2.5990894079208373,0.3498979871945126,0.18589589595794678,0.020307557736310468,True,mse,sqrt,4,True,False
0.9967203308384434,0.00033986568468642297,61.10761573541446,6.332462403499199,4.071137257689936,0.10198434074128108,24.771330952644348,1.9324678079835846,0.0889538049697876,0.013633162458612937,True,mae,sqrt,4,False,False
0.9967203308384434,0.00033986568468642297,61.10761573541446,6.332462403499199,4.071137257689936,0.10198434074128108,25.26103413105011,1.6374444178924068,0.08462965488433838,0.01059039570096146,True,mae,sqrt,4,False,True
0.9967203308384434,0.00033986568468642297,61.10761573541446,6.332462403499199,4.071137257689936,0.10198434074128108,31.57300488948822,4.900546974173626,0.14776716232299805,0.053240779108300426,True,mae,sqrt,4,True,False
0.9967203308384434,0.00033986568468642297,61.10761573541446,6.332462403499199,4.071137257689936,0.10198434074128108,4047.878073763847,2013.9585549788221,0.335500431060791,0.11007291768261723,True,mae,sqrt,4,True,True
0.9961504182658503,0.0004472736181490388,71.72636926610969,8.333713871757418,4.81603503128728,0.23084785491052948,1.5645270109176637,0.07092762497510342,0.1770881175994873,0.040298875769571973,True,mse,log2,4,False,False
0.9961504182658503,0.0004472736181490388,71.72636926610969,8.333713871757418,4.81603503128728,0.23084785491052948,1.8187612771987915,0.3613325533916324,0.17964575290679932,0.007810616723491909,True,mse,log2,4,False,True
0.9961504182658503,0.0004472736181490388,71.72636926610969,8.333713871757418,4.81603503128728,0.23084785491052948,2.2810076475143433,0.33261395578853126,0.22807135581970214,0.05597637585448931,True,mse,log2,4,True,False
0.9961504182658503,0.0004472736181490388,71.72636926610969,8.333713871757418,4.81603503128728,0.23084785491052948,2.4798538208007814,0.6382899911023993,0.2452528476715088,0.09295840968808312,True,mse,log2,4,True,True
0.9959344402073717,0.0003806746626032504,75.75052644620008,7.092825482289052,4.834146858942271,0.19975053129911166,10.610077452659606,1.3491420280827975,0.06873383522033691,0.01249738345004067,True,mae,log2,4,False,False
0.9959344402073717,0.0003806746626032504,75.75052644620008,7.092825482289052,4.834146858942271,0.19975053129911166,11.441501879692078,1.0641138630639877,0.08591773509979247,0.014401465290995914,True,mae,log2,4,False,True
0.9959344402073717,0.0003806746626032504,75.75052644620008,7.092825482289052,4.834146858942271,0.19975053129911166,11.738116216659545,0.8127690246353622,0.08591742515563965,0.007810354441519877,True,mae,log2,4,True,True
0.9959344402073717,0.0003806746626032504,75.75052644620008,7.092825482289052,4.834146858942271,0.19975053129911166,11.780941224098205,1.0298586685883842,0.08591766357421875,0.007810878851616826,True,mae,log2,4,True,False
