Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,bootstrap,bootstrap_features,n_estimators,oob_score
0.9984997390333407,0.00039385456350366654,58.8162309369079,15.440674307597583,3.0309799825961394,0.1831461122039107,181.60317311286926,1.9463750470444348,3.8334262371063232,0.37125310999579764,True,True,84,False
0.9984997390333407,0.00039385456350366654,58.8162309369079,15.440674307597583,3.0309799825961394,0.1831461122039107,209.27767713069915,3.674569318055136,3.62026584148407,0.2746188977731282,True,True,84,True
0.9984974218089967,0.0003951207805477507,58.90707540009031,15.490315080594211,3.022774392699219,0.18551037600984427,229.00738711357116,2.4640459836017685,4.683741474151612,0.39008163406207574,True,True,100,False
0.9984974218089967,0.0003951207805477507,58.90707540009031,15.490315080594211,3.022774392699219,0.18551037600984427,256.52710247039795,3.97852630382036,4.682057619094849,0.6233079957347296,True,True,100,True
0.9984971502701133,0.0003953873506577808,58.917720810476716,15.500765695186749,3.0294133856272123,0.18312429350771128,190.61494314670563,2.4183273714285343,3.9376368284225465,0.2958700430484853,True,True,88,False
0.9984971502701133,0.0003953873506577808,58.917720810476716,15.500765695186749,3.0294133856272123,0.18312429350771128,216.88206567764283,3.0348672581359364,3.808987522125244,0.21344955200280993,True,True,88,True
0.9984964743326408,0.0003962165423214819,58.944220263147336,15.533273325170954,3.026067545851333,0.18399717398850762,199.35197048187257,3.3264591820895624,4.002510952949524,0.24953143087723417,True,True,92,False
0.9984964743326408,0.0003962165423214819,58.944220263147336,15.533273325170954,3.026067545851333,0.18399717398850762,227.8409904241562,4.833714810676456,3.987601566314697,0.29993486973984435,True,True,92,True
0.9984964250647475,0.00039452994716382243,58.94615176163755,15.467152048611709,3.025409556112666,0.18302115511499845,213.02470428943633,2.2665639128718333,4.811707782745361,0.5760033961475652,True,True,96,False
0.9984964250647475,0.00039452994716382243,58.94615176163755,15.467152048611709,3.025409556112666,0.18302115511499845,239.00682158470153,3.5924118042818387,4.4863769769668576,0.2552703828387985,True,True,96,True
0.9984944561280265,0.00039700320670589426,59.02334195684834,15.564113715698134,3.0356637895461316,0.18634114298115773,173.6222364425659,2.355138575647147,3.7229428768157957,0.3030759094529384,True,True,80,False
0.9984944561280265,0.00039700320670589426,59.02334195684834,15.564113715698134,3.0356637895461316,0.18634114298115773,198.50110714435579,2.5801262134458645,3.5409784078598023,0.23026079438242056,True,True,80,True
0.9984901225494224,0.0004009739653235489,59.19323557244376,15.719783336543676,3.0426103874402006,0.1847973962926891,156.4381306886673,2.8218165558806687,3.2691767692565916,0.2413856488087353,True,True,72,False
0.9984901225494224,0.0004009739653235489,59.19323557244376,15.719783336543676,3.0426103874402006,0.1847973962926891,178.8933552980423,2.9641192078091585,3.2773898601531983,0.2316472613128712,True,True,72,True
0.9984897593522236,0.00039717721042838026,59.20747435542886,15.57093535763324,3.040047351630515,0.1835803768320675,164.44169178009034,2.7792641331774846,3.425799822807312,0.4220581918837783,True,True,76,False
