fit_time,score_time,test_mae,test_mse,test_distance,test_r2
1.4741287231445312,0.10659623146057129,2.4913710660859487,43.50939359997771,2.0164691846304774,0.9908276792558248
1.4938278198242188,0.0842142105102539,2.432194489618422,38.129494062911625,1.9685728351447733,0.9913958907678473
1.4522697925567627,0.08760380744934082,2.492311743252887,37.944786578841,2.0172306722939872,0.9921037682107118
1.4865269660949707,0.0830225944519043,2.790144775886903,46.816363564980676,2.2582929675808487,0.9895191988926457
1.4896678924560547,0.08648300170898438,2.4666305162207625,40.764959711505455,1.9964445230051522,0.9908741125219737
1.4426894187927246,0.08156323432922363,2.50952928893916,38.63330018172811,2.0311662939383948,0.9915847322510108
1.5489985942840576,0.10097098350524902,2.387042589645431,35.2467529978309,1.9320272693177956,0.9925408689231608
1.453676700592041,0.08985066413879395,2.1593000784096326,30.198986841350322,1.7476960974841222,0.9937086142991052
1.4767699241638184,0.09184765815734863,2.289503683501001,36.00815045055549,1.8530809058468802,0.9922467622179578
1.49715256690979,0.09934043884277344,2.676334703011854,48.34444616428678,2.1661756892762143,0.9896484893607315
