fit_time,score_time,test_mae,test_mse,test_distance,test_r2
8.578184843063354,0.13315343856811523,2.3476920332155085,22.880769528725565,1.900172885789473,0.9951764495060412
8.54072093963623,0.1416614055633545,2.31536793145046,22.07762406225778,1.8740099725693808,0.9950180747558662
8.596690893173218,0.12754273414611816,2.381510644923013,22.66652527396747,1.9275444141998486,0.9952831428620866
8.510657787322998,0.1467735767364502,2.520171970730694,21.829135599528133,2.0397752033483854,0.9951131012504513
8.559885263442993,0.14415597915649414,2.379194245420497,20.845985559735702,1.9256699800454855,0.9953332931043467
8.467363834381104,0.13392376899719238,2.3422166136357494,19.90637478706439,1.8957403625847733,0.9956639098146707
8.668508768081665,0.12925100326538086,2.187491608961079,16.84254110636621,1.7705090406251245,0.9964356795706212
8.614838361740112,0.14441299438476562,2.229207425008473,15.784118711691393,1.80427287788595,0.996711678465054
8.537432432174683,0.12514901161193848,2.320234489924498,19.867542100024764,1.8779487861237316,0.9957221413452562
8.524830341339111,0.12496733665466309,2.4448241838236915,23.137844449910933,1.9787899619954805,0.9950457257865966
