fit_time,score_time,test_mae,test_mse,test_distance,test_r2
0.8249831199645996,0.09641480445861816,56052.468678731566,5409242802.046089,45368.022289189044,-1140334.5886695918
0.7689900398254395,0.10243844985961914,58372.26311545171,5819079608.8682375,47245.62889927711,-1313103.141971701
0.7629415988922119,0.10293102264404297,55737.96950094211,5409200664.331729,45113.47140063264,-1125642.4965469653
0.7588043212890625,0.10021567344665527,56072.04882859994,5513704248.120264,45383.87016708137,-1234354.5370146087
0.7705278396606445,0.12375354766845703,58296.290327729075,5856022903.489251,47184.1376715118,-1310963.2807007264
0.786285400390625,0.09520769119262695,58016.16714468014,5973903833.636405,46957.41019401985,-1301259.8301720864
0.7821023464202881,0.10747098922729492,51679.70095365984,4797049732.230878,41828.77007974286,-1015179.6816652955
0.7712733745574951,0.09480047225952148,50676.90756763206,4659928744.615371,41017.12424602282,-970806.703751128
0.7431154251098633,0.11715030670166016,52273.062216961815,4875420661.355646,42309.02773238329,-1049769.5436683593
0.8528568744659424,0.12187480926513672,50783.44034060883,4661490864.129985,41103.35026492918,-998117.2142601697
