Accuracy,MAE,MSE,Runtime,algorithm,generacion,leaf_size,n_neighbors,p,stdApproach,stdMAE,stdMSE,stdRuntime,weights
0.998295249107867,3.4201524757545485,66.8330539751812,128.05243785381316,ball_tree,0,70.0,10.0,1.0,0.0006857230866824313,0.24181034381935856,26.883087890297663,9.88218012905335,distance
0.9982651413567254,2.718747896443206,68.01339825093191,72.55858509540558,ball_tree,1,10.0,3.0,1.0,0.0008089726792660354,0.24105428665609915,31.714964917945625,3.1385244557620853,uniform
0.9982090993900922,3.8267711665728092,70.2104675108289,131.8551500082016,ball_tree,0,70.0,15.0,1.0,0.0007126748450569291,0.24290407888803503,27.939704625611245,12.715341654899648,distance
0.9982018397596459,3.2253422331095036,70.49507406283779,94.0473952293396,brute,0,50.0,8.0,1.0,0.0007809375535199893,0.28584427543893853,30.615875848196424,10.855327386243562,distance
0.9981646068535266,3.613869980788864,71.95475291434487,126.45424561500549,ball_tree,0,70.0,7.0,1.0,0.0006632554552319606,0.25042926563102136,26.002266866913043,8.829020032541468,uniform
0.9981212890646362,3.618811342010808,73.65298351000287,129.42957680225373,ball_tree,0,10.0,7.0,1.0,0.0006545680320396456,0.26283960768887915,25.66168512808234,11.191534952306194,uniform
0.9980620491668477,4.165602560992123,75.97542446289617,134.85898616313935,ball_tree,0,50.0,20.0,1.0,0.0007107133700180805,0.24890932062258547,27.862806958189623,15.077534868574103,distance
0.9980606199874437,4.1653657668820285,76.03145401225083,145.8474985599518,kd_tree,0,30.0,20.0,1.0,0.0007102643834559275,0.2500941664147588,27.845204889007245,13.201075137568573,distance
0.9980032361323856,4.173558582805574,78.28113066595864,101.83433110713959,brute,0,50.0,20.0,1.0,0.000702416552906586,0.25105740528802595,27.53753854014932,16.85506425972529,distance
0.9979992864441274,3.4314065117125403,78.43597424442851,121.10511088371277,ball_tree,0,50.0,4.0,2.0,0.0006727999439300776,0.28601368940191557,26.376449001834345,13.332767281197052,distance
0.9979209277697472,3.745208780671784,81.50794771482845,4.613880848884582,brute,0,70.0,4.0,2.0,0.0006729564468908605,0.2907808617100247,26.382584543909328,0.9250301507968295,uniform
0.9979178798863211,3.826935787259264,81.62743693666309,117.60645949840546,ball_tree,0,30.0,6.0,2.0,0.0006755092649175503,0.2801612778971216,26.482665221827446,6.039387334906587,distance
0.9978627111608634,2.7764341880810526,83.79027164951066,92.32679166793824,brute,0,10.0,3.0,1.0,0.0007619316548657626,0.22426523278153265,29.870768597356943,12.856292152215635,uniform
0.9978461056702314,3.8931451498143743,84.4412733042451,423.9645410299301,kd_tree,0,70.0,4.0,3.0,0.000732709743892869,0.3209514965887866,28.725152799576808,73.56709768996731,distance
0.9978352829325985,4.063960156979884,84.86556791040815,30.059129786491393,,2,,,,0.000649004266692728,0.2869622018776274,25.443563271421773,0.49840509031239894,
0.9977074243256414,4.2705657057333735,89.87813673756003,1050.8490087747573,ball_tree,0,70.0,4.0,3.0,0.0007052783513977371,0.3186587292591534,27.64973248819616,224.71268761537598,uniform
0.997661580593258,4.335865462052752,91.67539442192185,1217.8030351877212,ball_tree,0,10.0,6.0,3.0,0.0007344552582341394,0.3229281073263936,28.79358394381224,237.87614966126677,distance
0.9976542001540837,4.663185398100445,91.96473715929892,66.4262214422226,kd_tree,0,30.0,12.0,2.0,0.0006948396608567753,0.279353537081034,27.240494064227157,3.4106282592551422,distance
0.9976507660058456,4.328692468975321,92.099369506834,1068.0011853456497,ball_tree,0,70.0,6.0,3.0,0.0007353550330094128,0.303017112971967,28.828858714101884,230.41527603657215,distance
0.9976462243116678,4.337761587427327,92.27742208537197,1813.6151787042618,brute,0,10.0,6.0,3.0,0.0007327496492236008,0.3165479643698024,28.726717248161524,342.7058702128642,distance
0.9975707450294801,4.365080878344238,95.23651186427185,1007.9902337312699,ball_tree,0,10.0,5.0,4.0,0.0008241763893346056,0.3390953152338203,32.311011167474604,214.82300097751315,distance
0.9975561122818235,4.357732200181576,95.8101741033916,1818.2137579917908,brute,0,30.0,5.0,4.0,0.0008056535180895301,0.3066896975871156,31.58484052318139,332.2890995326604,distance
0.9975524516632479,4.534836868014769,95.95368499402456,374.2044203042984,kd_tree,0,70.0,4.0,4.0,0.0007176252949088577,0.31422907486256196,28.133782061606006,49.576824327401894,uniform
0.9975075985411284,4.541025142139687,97.7121067936036,281.1266875505447,kd_tree,0,10.0,4.0,4.0,0.0007987463089737083,0.33220091892511155,31.314050297004638,36.28992451573906,uniform
0.9975061890356292,4.452359536777707,97.76736504719169,918.0972298622131,ball_tree,0,10.0,5.0,5.0,0.0008401083043969056,0.3573457656688175,32.93560596557601,190.36252426058184,distance
0.9974958739597891,4.970451210790152,98.17175728042581,120.18891396522523,ball_tree,0,30.0,15.0,2.0,0.0006821621956932327,0.27031464474944666,26.74348671995829,7.4762219482910846,distance
0.9974815828820587,4.706169894940355,98.73202469177178,431.54727334976195,kd_tree,0,30.0,8.0,3.0,0.0007268941389732403,0.3030572486624292,28.497157824306004,77.79929923544503,distance
0.997321959902424,4.880074429088173,104.98988398536589,378.02803230285645,kd_tree,0,70.0,7.0,5.0,0.0007404197531748277,0.3155879055151962,29.027416003465824,54.526295267249786,distance
0.9971904018829593,5.091018131093668,110.14748458046033,832.8222907543183,ball_tree,0,30.0,8.0,5.0,0.0007507559111445078,0.3191036883960601,29.43263474050955,182.49184395249276,distance
0.9971269004733175,4.985052197837152,112.63699384405648,1814.218758058548,brute,0,30.0,5.0,5.0,0.0006933549057161898,0.3296681042719319,27.182285723696886,341.4133021385099,uniform
