Approach,MAE,MSE,Runtime,alpha,fit_intercept,generacion,l1_ratio,normalize,selection,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0,100,100,0,0.1,True,0,0.4,True,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,4,0.0,False,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,4,0.4,False,cyclic,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,4,0.4,True,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,4,0.4,False,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,False,4,0.8,False,cyclic,0,100,100,0,True
0,100,100,0,0.7000000000000001,False,4,0.8,False,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,False,4,1.0,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,4,0.6000000000000001,False,cyclic,0,100,100,0,False
0,100,100,0,0.4,True,3,0.6000000000000001,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,4,0.2,False,random,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,4,0.2,False,random,0,100,100,0,False
0,100,100,0,1.0000000000000002,True,4,0.4,True,random,0,100,100,0,False
0,100,100,0,1.0000000000000002,True,4,0.6000000000000001,False,random,0,100,100,0,False
0,100,100,0,0.1,False,5,0.0,True,cyclic,0,100,100,0,True
0,100,100,0,0.1,False,5,0.2,True,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,4,0.2,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,4,0.4,False,random,0,100,100,0,False
0,100,100,0,0.4,True,4,0.4,False,random,0,100,100,0,False
0,100,100,0,0.4,True,4,0.2,False,random,0,100,100,0,False
0,100,100,0,0.4,True,4,0.0,True,random,0,100,100,0,False
0,100,100,0,0.4,True,4,0.0,True,random,0,100,100,0,True
0,100,100,0,0.4,True,4,0.4,False,cyclic,0,100,100,0,False
0,100,100,0,0.1,False,4,0.4,False,random,0,100,100,0,True
0,100,100,0,0.1,True,4,0.4,True,random,0,100,100,0,False
0,100,100,0,0.1,True,4,0.2,False,random,0,100,100,0,False
0,100,100,0,0.1,True,4,0.2,False,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,False,3,1.0,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,3,0.2,False,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,3,0.2,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,False,3,0.0,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,3,1.0,True,cyclic,0,100,100,0,True
