Approach,MAE,MSE,Runtime,alpha,fit_intercept,generacion,l1_ratio,normalize,selection,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0,100,100,0,0.4,True,3,1.0,False,cyclic,0,100,100,0,True
0,100,100,0,0.1,False,5,0.6000000000000001,False,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,5,0.8,False,cyclic,0,100,100,0,True
0,100,100,0,0.1,False,5,0.8,False,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,6,1.0,True,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,False,7,0.6000000000000001,False,random,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,7,0.4,True,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,7,0.2,False,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,7,0.0,True,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,7,1.0,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,7,1.0,False,random,0,100,100,0,True
0,100,100,0,0.4,True,7,0.4,False,random,0,100,100,0,True
0,100,100,0,0.4,True,7,0.2,False,random,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,6,1.0,True,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,True,6,0.6000000000000001,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,6,0.2,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,False,6,0.0,True,cyclic,0,100,100,0,False
0,100,100,0,0.1,True,6,0.8,True,random,0,100,100,0,True
0,100,100,0,0.1,False,6,0.6000000000000001,True,random,0,100,100,0,False
0,100,100,0,0.1,False,6,0.8,True,cyclic,0,100,100,0,False
0,100,100,0,0.1,False,5,0.4,True,random,0,100,100,0,False
0,100,100,0,0.1,True,6,0.6000000000000001,True,cyclic,0,100,100,0,False
0,100,100,0,0.1,True,6,0.2,True,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,True,5,0.8,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,False,5,0.6000000000000001,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,5,0.8,False,random,0,100,100,0,True
0,100,100,0,0.4,False,5,0.6000000000000001,False,random,0,100,100,0,True
0,100,100,0,0.4,False,5,0.6000000000000001,True,random,0,100,100,0,True
0,100,100,0,0.4,True,5,0.4,True,random,0,100,100,0,False
0,100,100,0,0.4,False,5,1.0,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,5,0.8,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,False,5,0.8,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,5,0.4,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,5,0.4,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,5,0.4,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,3,0.6000000000000001,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,3,0.2,False,cyclic,0,100,100,0,True
0,100,100,0,0.1,False,0,1.0,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,False,0,0.2,True,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,0,0.4,False,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,False,0,0.6000000000000001,True,random,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,0,0.8,False,random,0,100,100,0,True
0,100,100,0,1.0000000000000002,False,0,0.2,False,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,False,0,0.4,True,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,False,0,0.8,True,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,False,0,0.2,True,random,0,100,100,0,False
0,100,100,0,0.4,True,3,0.0,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,0,0.4,True,random,0,100,100,0,True
0,100,100,0,1.0000000000000002,False,0,0.8,True,random,0,100,100,0,True
0,100,100,0,0.1,True,1,0.2,True,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,1,0.4,True,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,1,0.8,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,True,1,0.0,False,cyclic,0,100,100,0,True
0,100,100,0,0.7000000000000001,False,0,0.2,False,random,0,100,100,0,True
0,100,100,0,0.7000000000000001,False,0,0.0,True,random,0,100,100,0,False
0,100,100,0,0.7000000000000001,False,0,0.6000000000000001,False,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,0,0.2,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,0,1.0,True,random,0,100,100,0,True
0,100,100,0,0.4,True,0,0.8,False,random,0,100,100,0,True
0,100,100,0,0.4,False,0,0.2,True,random,0,100,100,0,True
0,100,100,0,0.4,False,0,0.6000000000000001,False,cyclic,0,100,100,0,False
0,100,100,0,0.4,False,0,0.6000000000000001,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,True,0,0.6000000000000001,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,0,0.4,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,False,0,0.2,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,0,0.2,True,cyclic,0,100,100,0,False
0,100,100,0,0.1,True,0,1.0,True,random,0,100,100,0,True
0,100,100,0,0.1,True,0,0.8,False,random,0,100,100,0,False
0,100,100,0,0.1,True,0,0.4,True,random,0,100,100,0,True
0,100,100,0,0.1,False,0,0.2,True,random,0,100,100,0,False
0,100,100,0,0.4,False,1,0.0,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,1,0.2,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,False,1,0.2,True,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,2,0.6000000000000001,False,random,0,100,100,0,False
0,100,100,0,0.1,True,3,0.2,True,random,0,100,100,0,True
0,100,100,0,0.1,True,3,0.6000000000000001,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,2,0.6000000000000001,True,random,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,2,0.0,False,random,0,100,100,0,False
0,100,100,0,0.7000000000000001,False,2,0.6000000000000001,False,cyclic,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,2,0.6000000000000001,False,cyclic,0,100,100,0,False
0,100,100,0,0.7000000000000001,True,2,0.6000000000000001,False,cyclic,0,100,100,0,True
0,100,100,0,0.7000000000000001,True,2,0.6000000000000001,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,2,0.6000000000000001,False,random,0,100,100,0,False
0,100,100,0,0.4,True,2,0.8,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,True,2,0.8,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,2,0.6000000000000001,True,cyclic,0,100,100,0,False
0,100,100,0,0.4,True,2,0.0,False,cyclic,0,100,100,0,False
0,100,100,0,0.1,True,2,1.0,False,random,0,100,100,0,False
0,100,100,0,0.1,True,2,1.0,False,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,1,0.4,True,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,2,0.6000000000000001,False,cyclic,0,100,100,0,False
0,100,100,0,0.1,True,2,0.4,False,cyclic,0,100,100,0,True
0,100,100,0,0.1,True,2,0.2,False,cyclic,0,100,100,0,False
0,100,100,0,0.1,True,2,0.0,True,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,False,1,0.4,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,1,0.4,True,cyclic,0,100,100,0,True
0,100,100,0,1.0000000000000002,True,1,0.0,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,1,1.0,True,random,0,100,100,0,False
0,100,100,0,0.4,True,1,0.6000000000000001,True,random,0,100,100,0,True
0,100,100,0,0.4,False,1,0.4,True,random,0,100,100,0,True
0,100,100,0,0.4,True,1,0.4,True,random,0,100,100,0,True
0,100,100,0,0.4,True,1,0.2,True,random,0,100,100,0,True
0,100,100,0,0.4,True,1,0.8,True,cyclic,0,100,100,0,True
0,100,100,0,0.4,True,1,0.4,True,cyclic,0,100,100,0,False
0,100,100,0,1.0000000000000002,True,7,0.6000000000000001,False,random,0,100,100,0,True
