Accuracy,MAE,MSE,Runtime,bootstrap,criterion,generacion,max_features,min_samples_split,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0.9990235957517462,1.611910411715079,38.278952148545486,2.8019473791122436,True,mse,1,,2.0,25.0,True,0.0006428082924203295,0.5606923916212001,25.200656296047775,5.941971469490928,True
0.9989911164052904,1.6997719891756593,39.552272446999844,3.2629791498184204,True,mse,0,,4.0,20.0,True,0.0006492506835155365,0.5570748884354471,25.45322379654389,6.986477914874968,True
0.9989836382493378,2.024380447531737,39.84544607296061,1.5601871252059936,True,mse,0,log2,2.0,25.0,True,0.0006487598810167343,0.70158737597749,25.43398237538123,0.9283052294284534,True
0.998939816840247,2.2604044607155145,41.563420594960895,1.3165455102920531,True,mse,0,sqrt,4.0,20.0,True,0.0006247859536374939,0.5590498690945356,24.4941085264043,0.8365776822725134,True
0.9988770535886753,1.7993880564537974,44.02399110957567,0.761521577835083,True,mse,1,,2.0,5.0,True,0.0006545422808628139,0.6282537037534707,25.660675578944605,1.2344662480655155,True
0.998849976241733,2.52691361286423,45.08553141909304,9.703036069869995,True,mae,0,sqrt,4.0,15.0,True,0.0006278317097567971,0.5081095495738516,24.613514349306005,28.530284349848095,True
0.9988463251551801,1.9943138632866635,45.228668616323816,0.8994378089904785,True,mse,0,,6.0,5.0,False,0.0006498778650294941,0.5719565836004183,25.47781182061556,1.5126437904909154,True
0.9988218573981987,2.3416059696956415,46.18790256101656,6.793240571022034,True,mae,0,sqrt,2.0,10.0,True,0.0007040615952072367,0.6377833873783058,27.60203077850501,19.663406485867664,True
0.9987728556696773,2.6495550902866993,48.108966325969405,11.737955093383789,True,mae,0,sqrt,6.0,20.0,False,0.0006895070942271959,0.4879287484603002,27.03143612208281,36.022239310755786,True
0.9987201133130876,2.479082424323003,50.176677673717805,3.7837608814239503,True,mae,0,sqrt,2.0,5.0,True,0.0007084215160410415,0.6998808128958537,27.772957114874803,10.100564537213591,True
0.9984232254935204,3.8914540569661065,61.815867752024495,3.585800290107727,True,mae,0,log2,4.0,10.0,True,0.0006617648055459959,0.4959865626356787,25.943827436625444,8.712629056266769,True
0.9983558239620965,3.187972905426546,64.45827738996867,18.145108270645142,True,mse,0,,2.0,20.0,False,0.0006985175551734017,0.23392022016524963,27.38468223301723,2.2648055781685823,False
0.9983358913943974,3.184779884813612,65.23971377404125,21.808292317390443,True,mse,0,,4.0,25.0,True,0.0006948694569419103,0.23677997106476797,27.241662189950176,2.3751445257022383,False
0.9983039180400175,3.2953520860196432,66.49319715915853,13.96862564086914,True,mse,0,,6.0,15.0,True,0.0006859293642534598,0.22958620421819925,26.891174796192526,2.396114192334613,False
0.9982499255261669,3.9987944536348374,68.6099196721526,1.9616368770599366,True,mse,0,log2,2.0,20.0,False,0.000605416951632483,0.21453551137691235,23.734766171799805,0.3083736036727248,False
0.9982261660245246,3.3323469355335242,69.54138717453328,7.145944833755493,,,2,,,,,0.00067082663293923,0.21422268864147398,26.299087317748878,0.13727756878079062,
0.9981328915213885,4.063788902929773,73.19812079549293,78.76913125514984,True,mae,0,sqrt,6.0,15.0,True,0.0006190411025700233,0.23596213742250516,24.268887385153608,5.913579371027264,False
0.9981056914140997,3.9842980987574217,74.2644738016436,52.70959031581879,True,mae,0,sqrt,2.0,10.0,False,0.0006320500294675996,0.16724044905203406,24.77888935524896,5.355525726230246,False
0.9980540801463507,4.268039121345676,76.2878419424676,1.367425560951233,True,mse,0,log2,2.0,10.0,False,0.0006253590479459092,0.2203084702594991,24.516576115669984,0.17617175521556722,False
0.9979972163074011,3.3399048571694268,78.51713188464835,2371.6261398553847,True,mae,0,,2.0,15.0,True,0.0007242937472385956,0.2551055523588491,28.39521206674189,42.62792335994078,False
0.9978738370442402,4.559135962843107,83.35409251760876,1.0683623552322388,True,mse,0,sqrt,6.0,5.0,True,0.0006414319869169535,0.2897612963706104,25.146699615092466,0.1241318539843484,False
0.9977567021209504,3.6063460193041315,87.94625005026117,797.8754893541336,True,mae,0,,4.0,5.0,False,0.0006371262107497622,0.2420638432148493,24.977895966234065,15.71016331293446,False
0.9976978106592492,3.658080858660168,90.25503091479868,797.697835445404,True,mae,0,,6.0,5.0,True,0.0006515868814018758,0.27222291866889203,25.54481209847882,20.069623003839215,False
0.9976886559958021,5.252909397069853,90.6139303405706,35.392522478103636,True,mae,0,log2,6.0,15.0,True,0.0006310810822268771,0.27825868771180134,24.7409027476218,2.7503001108955494,False
0.9976480252514823,5.282217318482468,92.20681804087769,24.520828008651733,True,mae,0,log2,4.0,10.0,False,0.0006902919321424668,0.31958893516291104,27.062204907712587,2.467696575985902,False
0.9975397197001982,5.457267860198582,96.45282887342573,24.14341790676117,True,mae,0,log2,6.0,10.0,True,0.0006325661966955208,0.26643279144069604,24.7991251752512,1.938058337428986,False
