fit_time,score_time,test_mae,test_mse,test_distance,test_r2
347.43251037597656,154.70416069030762,64.64380006377466,6334.903383747505,65.95052510097452,0.602841629279963
348.9023554325104,154.5662887096405,60.11957163266198,5592.881417775512,61.334842849334144,0.6212946106388895
348.8795714378357,153.88192892074585,66.07655975704995,6405.255055699452,67.41224693802877,0.5956099534861599
348.7181499004364,154.2863507270813,63.19863800796269,5935.44152968807,64.47615020065284,0.6168130790255841
347.36432361602783,154.15577840805054,63.149976940442706,6049.274869558672,64.42650548508662,0.6003491194511266
347.50486421585083,154.58052825927734,61.73311026416251,5815.680194645252,62.98099793155671,0.6109743970100041
348.3115282058716,154.96930527687073,64.81882956186423,6407.19309852707,66.12909268594414,0.5938626301064296
348.67595052719116,153.68817400932312,64.81463527448852,6329.871997469325,66.12481361511868,0.5985135841263558
348.24091243743896,154.4936285018921,64.68126172563501,6376.273745148571,65.98874402200785,0.5981590828739998
348.2816708087921,154.43530321121216,64.67730556596815,6345.1308186535025,65.98470789151303,0.5914854942690662
