fit_time,score_time,test_mae,test_mse,test_distance,test_r2
2.0296518802642822,32.46006536483765,3.6806778823518096,41.88760046091492,3.755079974583139,0.9973739124111807
1.9030656814575195,31.63377857208252,3.609115945877538,38.09639692815149,3.6820714682597564,0.9974204153898065
1.9936184883117676,32.19442272186279,3.8710226063922533,59.76868344437007,3.9492723720483762,0.9962265576518091
1.9923439025878906,32.24541139602661,3.8385579219058994,51.71901415144763,3.9161514387671255,0.9966610656192301
1.9921603202819824,31.045182704925537,3.760010593130486,47.552210902879885,3.836016335612439,0.9968584196669562
2.0160183906555176,32.003408432006836,3.569271997498426,40.569019271229614,3.6414221048944153,0.9972862353746283
1.937133550643921,31.328980207443237,3.882058745214587,58.44126152026672,3.960531597974318,0.99629554160736
1.930555820465088,31.952347993850708,3.8539609670854666,50.33176395283087,3.931865844633497,0.9968075942890947
2.048682689666748,31.703392505645752,3.961111165127114,60.75610056400692,4.041182002087152,0.9961710729263755
1.9832665920257568,30.95180916786194,4.036516454632809,57.53679306272824,4.118111551980227,0.9962956453931155
