fit_time,score_time,test_mae,test_mse,test_distance,test_r2
2.585178852081299,0.08611750602722168,8.43594919092269,136.70950038669568,8.606475461300699,0.9914291790819055
2.517798662185669,0.07943058013916016,8.561194203601227,142.03039231764203,8.734252206254702,0.9903828329252943
2.491935968399048,0.09007573127746582,8.528061758852393,142.8212557422001,8.700450014380534,0.990983107815299
2.485088586807251,0.07634758949279785,8.689354422830839,139.62362770350822,8.865003086649288,0.9909860205466808
2.4856958389282227,0.08147358894348145,8.5573713210323,140.0287146967385,8.73035204682746,0.9907488748093932
2.502443313598633,0.08830642700195312,8.593111062693934,141.00137276468234,8.766814240275327,0.9905680604458438
2.567235231399536,0.09592485427856445,8.685138895945023,146.85441020522074,8.86070234565831,0.9906912335868681
2.4448537826538086,0.08760428428649902,8.037709442896968,120.08363341778475,8.200185600758012,0.9923834245613077
2.58058762550354,0.08466386795043945,8.54380417563338,135.2311622416346,8.716510651934822,0.9914775593973613
2.6506216526031494,0.08238554000854492,8.771195326827744,145.49795696134427,8.948498341642601,0.9906324979465849
