FLOOR,fit_time,score_time,test_nbaccuracy,test_accuracy
AdaBoostClassifier,87.7228531360626,0.279849290847778,0.993313399788116,0.992588861172148
BaggingClassifier,16.712611413002,0.138735032081604,0.981457587543455,0.978930348930754
BernoulliNB,0.992505788803101,0.066275310516358,0.653094574211016,0.676588521967268
DecisionTreeClassifier,2.36444644927978,0.01489589214325,0.964758512870604,0.962208223767155
ExtraTreesClassifier,1.08349616527557,0.041273975372315,0.987517785460132,0.985606043550304
GaussianNB,0.551279306411743,0.160254001617432,0.629664558483278,0.631997151279373
GradientBoostingClassifier,160.903054594994,0.092319464683533,0.981448893888875,0.978378840819855
KNeighborsClassifier,2.05557734966278,25.2246432304382,0.969668708637282,0.965209323931655
LinearDiscriminantAnalysis,5.30556828975678,0.016184520721436,0.984981623192607,0.986157289002558
LogisticRegression,16.9347282886505,0.017718553543091,0.979278742715118,0.977460023354106
MLPClassifier,26.6487156152725,0.03620331287384,0.984422172610936,0.983462673955069
MultinomialNB,0.182143449783325,0.015485167503357,0.72891447498578,0.739617141253317
PassiveAggressiveClassifier,1.9094625711441,0.016737031936646,,0.243358113300433
QuadraticDiscriminantAnalysis,6.76420979499817,0.859013485908508,0.79999259141008,0.754439644045003
RandomForestClassifier,0.870714592933655,0.035543847084046,0.989615426103094,0.988178747463468
SGDClassifier,1.24604852199554,0.017057251930237,,0.243358113300433
SVC,243.688784980774,58.0635565757751,0.923357059037913,0.907264988052784
VotingClassifier,161.833596611023,0.157452440261841,0.98349275819196,0.98070610898983
