BUILDING,fit_time,score_time,test_nbaccuracy,test_accuracy
AdaBoostClassifier,41.7735741376877,0.208777952194214,0.997170175923205,0.997243697693407
BaggingClassifier,7.80246403217316,0.126529407501221,0.996697286561658,0.996814851170107
BernoulliNB,0.983880591392517,0.067161464691162,0.996239778084294,0.997059949209323
DecisionTreeClassifier,1.08152928352356,0.014774179458618,0.995669010097955,0.995896108749685
ExtraTreesClassifier,0.660537457466125,0.026450896263123,0.99728981869177,0.997304934680547
GaussianNB,0.581363201141357,0.092291808128357,0.997604954367756,0.996753726750958
GradientBoostingClassifier,108.796196222305,0.08488290309906,0.997027805330631,0.997304934680547
KNeighborsClassifier,2.00311079025269,24.8370701313019,0.997704288896145,0.997611044570921
LinearDiscriminantAnalysis,5.33326859474182,0.017160630226135,0.996866404079839,0.995896033704357
LogisticRegression,6.17125873565674,0.017339658737183,0.997439236827437,0.997550032719763
MLPClassifier,13.4228995084763,0.031251049041748,0.997960203304151,0.99779494314566
MultinomialNB,0.182117223739624,0.016274094581604,0.996232155839574,0.997059986731986
PassiveAggressiveClassifier,1.34907388687134,0.016371846199036,,0.460368187385181
QuadraticDiscriminantAnalysis,5.77946531772614,0.575365614891052,0.995310917269176,0.993874837902093
RandomForestClassifier,0.559329462051392,0.025943470001221,0.997699363180555,0.997611194661575
SGDClassifier,0.799653697013855,0.017253422737122,0.99574001724626,0.996508891370388
SVC,52.6466812849045,11.1824848175049,0.995845359110656,0.996753689228294
VotingClassifier,109.188809370995,0.131436967849731,0.997120952826622,0.997366171667687
