fit_time,score_time,test_nbaccuracy,test_accuracy
0.6784372329711914,0.027715682983398438,0.9973404255319149,0.998162890385793
0.6511693000793457,0.0258331298828125,0.9974059662775616,0.9963257807715861
0.6145470142364502,0.023919343948364258,0.9950738916256158,0.9963257807715861
0.6557612419128418,0.025093555450439453,0.9975224059356699,0.9969381506429884
0.6591730117797852,0.027571916580200195,0.9974435282328652,0.9969381506429884
0.6395242214202881,0.025587081909179688,0.9988021653940936,0.9987752602571953
0.6563353538513184,0.025495290756225586,0.9978345627780433,0.9975490196078431
0.7108244895935059,0.030026912689208984,0.9983985260770977,0.9981617647058824
0.646357536315918,0.025717735290527344,0.9962409514408423,0.9969362745098039
0.6932451725006104,0.02754831314086914,0.9968357636239965,0.9969362745098039
