fit_time,score_time,test_nbaccuracy,test_accuracy
0.9643063545227051,0.0655982494354248,0.9973404255319149,0.998162890385793
0.9850103855133057,0.07119894027709961,0.9970171513795675,0.9975505205143906
0.9755144119262695,0.07034564018249512,0.9950738916256158,0.9963257807715861
0.9798848628997803,0.06598019599914551,0.9944444444444445,0.9957134109001837
0.9773476123809814,0.06706714630126953,0.9963768115942028,0.9969381506429884
0.9852457046508789,0.07003569602966309,0.9963045084996304,0.9969381506429884
0.9942789077758789,0.0658113956451416,0.9968553459119497,0.9975490196078431
0.9751968383789062,0.0636746883392334,0.9976359338061466,0.9981617647058824
0.9859354496002197,0.06532025337219238,0.9943188300390747,0.9957107843137255
1.0160853862762451,0.06658244132995605,0.9970304380103935,0.9975490196078431
