fit_time,score_time,test_nbaccuracy,test_accuracy
0.18154048919677734,0.016071081161499023,0.9973404255319149,0.998162890385793
0.17812776565551758,0.015917062759399414,0.9970171513795675,0.9975505205143906
0.17620015144348145,0.017987728118896484,0.9942669942669943,0.9957134109001837
0.1797316074371338,0.015767812728881836,0.9944444444444445,0.9957134109001837
0.18120527267456055,0.01546335220336914,0.9963768115942028,0.9969381506429884
0.17797422409057617,0.015565872192382812,0.9963045084996304,0.9969381506429884
0.18549609184265137,0.01892542839050293,0.9968553459119497,0.9975490196078431
0.1945478916168213,0.015212535858154297,0.9976359338061466,0.9981617647058824
0.18269562721252441,0.016061067581176758,0.995049504950495,0.9963235294117647
0.1836531162261963,0.015769004821777344,0.9970304380103935,0.9975490196078431
