fit_time,score_time,test_nbaccuracy,test_accuracy
0.7933487892150879,0.016456127166748047,0.9955908289241622,0.9969381506429884
0.7872765064239502,0.016335010528564453,0.9965730180588412,0.9969381506429884
0.7951395511627197,0.017581462860107422,0.9895076674737692,0.9920391916717698
0.8152139186859131,0.015510797500610352,0.9928909952606636,0.994488671157379
0.8011279106140137,0.017239093780517578,0.9972826086956522,0.9963257807715861
0.8044681549072266,0.020783185958862305,0.9980575156988049,0.998162890385793
0.8283634185791016,0.020349740982055664,0.9977315159348765,0.9981617647058824
0.7884743213653564,0.015785932540893555,0.9984202211690363,0.9987745098039216
0.7994358539581299,0.01593756675720215,0.995049504950495,0.9963235294117647
0.7836885452270508,0.016555309295654297,0.9962962962962963,0.9969362745098039
