fit_time,score_time,test_nbaccuracy,test_accuracy
0.6042110919952393,0.10152220726013184,0.9987096774193548,0.998162890385793
0.5708515644073486,0.09070372581481934,0.9965502371711944,0.9951010410287814
0.5725915431976318,0.09110665321350098,0.9982339955849889,0.9975505205143906
0.5742027759552002,0.09041762351989746,0.9971014492753624,0.9957134109001837
0.5467889308929443,0.08981442451477051,0.9969902386663203,0.9963257807715861
0.5894033908843994,0.09032750129699707,0.997005708817853,0.9963257807715861
0.5787968635559082,0.0931088924407959,0.9977293369663941,0.9969362745098039
0.5950100421905518,0.09179925918579102,0.9986413043478262,0.9981617647058824
0.5813217163085938,0.09255671501159668,0.9982795698924732,0.9975490196078431
0.6004540920257568,0.09156107902526855,0.9968080255357957,0.9957107843137255
