Accuracy,MAE,MSE,Runtime,genCount,learning_rate,loss,n_estimators,stdApproach,stdMAE,stdMSE,stdRuntime
0.9986373847783098,1.7135653157539044,53.41996715114625,204.32144365310668,10,0.01,exponential,100,0.00039724199019964347,0.19046997173998367,15.573474983785648,20.28984236914393
0.9986307475627448,1.7193105358703147,53.68017255014833,178.0822819709778,19,0.01,square,100,0.0003899496539351979,0.2045457596885023,15.28758623287603,0.8325420677818159
0.998621078027794,1.7108169274555851,54.05925699836333,198.74933004379272,10,0.01,linear,100,0.00041281480105449754,0.19044282862805015,16.1839914605406,14.709521768007
0.9985960995104712,1.7585321123531017,55.03851479148278,91.00198514461518,19,0.01,linear,50,0.00041912549249609947,0.19405409372013838,16.431395807817413,0.7629296200819372
0.9985803655397671,1.7782861155945757,55.65534937896543,105.764404296875,10,0.01,square,50,0.0003933884543975485,0.1939441559687484,15.42240096620145,3.610212479406145
0.9985803655397671,1.7782861155945757,55.65534937896543,108.2797235250473,10,0.01,square,50,0.0003933884543975485,0.1939441559687484,15.42240096620145,2.3402538425835955
0.9985732669392696,1.7934240039832896,55.933642912868116,230.64916682243347,10,0.1,linear,500,0.000386602130839969,0.18133254385503453,15.15634993744896,116.40530562418726
0.9985643039249006,1.7892132463488402,56.285028928196105,128.301509141922,10,0.1,linear,50,0.0003845860620255089,0.18192475314331266,15.07731197564883,8.701575779623111
0.9982787910373648,2.521779180100434,67.47827617114646,748.2876910924912,10,0.1,exponential,500,0.00045655742268778794,0.2164200784097675,17.898877199052304,82.53203170689133
0.9970851164004744,3.9748406122554933,114.27509663580035,26.89118275642395,10,2.0,linear,50,0.0008917702355950357,0.5015796619272702,34.96096031626766,11.760328853031996
0.9970851164004744,3.9748406122554933,114.27509663580035,26.957892513275148,10,2.0,linear,500,0.0008917702355950357,0.5015796619272702,34.96096031626766,11.927354668557225
0.8372661955797515,43.446421161674486,6379.816068491427,58.76157960891724,10,2.0,square,100,0.182454249828426,33.22852587923078,7152.936410273613,23.72678937291597
