Accuracy,MAE,MSE,Runtime,genCount,learning_rate,loss,n_estimators,stdApproach,stdMAE,stdMSE,stdRuntime
0.9983112454920043,1.5503146326181647,31.46529618160373,169.33632509708406,10,0.1,linear,500,0.0004838997603722959,0.1591510866066899,9.016141310196408,19.482477571550326
0.9983025396277089,1.5825785497612532,31.627506021621436,183.07901277542115,10,0.1,square,100,0.0004469692910633441,0.17498260129981288,8.328043573414558,36.68262996895844
0.9983025396277089,1.5825785497612532,31.627506021621436,149.75849158763884,15,0.1,square,500,0.0004469692910633441,0.17498260129981288,8.328043573414558,29.675226715514302
0.9982976796831045,1.582632588283683,31.718057724477955,126.67250564098359,29,0.1,square,50,0.00045165968034091146,0.1750855508444337,8.41543607903146,3.7470038422902228
0.9982941888316205,1.5137945151950514,31.783100142041786,227.00733468532562,10,0.01,exponential,100,0.00044497010255785933,0.16281189613407204,8.290794193383517,15.63793546647174
0.9982927532099903,1.519649698217202,31.80984900315941,228.0625705718994,10,0.01,linear,100,0.00044992149670533034,0.15910478305115178,8.38304980698802,16.85304252893161
0.9982826431518758,1.5271752099058344,31.998222133461763,198.72579491138458,29,0.01,square,100,0.00046409755208208844,0.1766120360240241,8.647181614781855,4.273374653377894
0.9982562481923962,1.558175090087694,32.490019617229635,119.38956162929534,10,0.01,square,50,0.0004667864683562397,0.17436565681029653,8.697282175030978,4.420600692622515
0.9982275963702596,1.5720392500616345,33.02386753022891,99.44315042495728,21,0.01,linear,50,0.000417341217501786,0.15619137997489418,7.776005899797674,0.6762740158183248
0.9982163384421314,1.5623275016703695,33.23362806159477,103.21366186141968,15,0.01,exponential,50,0.00044355411875077606,0.15769597699842464,8.264411229095433,0.9787764341276562
0.9973800159115893,2.5027611221475476,48.81619853129048,38.99212574958801,10,1.0,square,50,0.0006538630421117328,0.5831182100930532,12.182939666386336,19.16130544963842
0.9951972747846805,3.5873884981757955,89.48557689313648,11.274811840057373,10,2.0,linear,500,0.0008684383071986185,0.2633153505550631,16.180959649301364,3.720075669377473
0.9941393618884922,3.8824130177143212,109.19687445313939,57.97774031162262,10,1.0,square,500,0.01061997533747148,4.930157856964631,197.87403548160339,79.27104692313537
0.9789313308527691,12.100225068828795,392.55671071849173,29.85914444923401,10,2.0,square,50,0.007088445893926677,2.7182716184331883,132.0736960071149,9.752886431170756
0.9364526736617339,20.285194997788537,1184.029671166158,182.61803238391877,10,1.0,exponential,500,0.06536291873330746,19.37766395727353,1217.8582425686684,120.64611665076198
