fit_time,score_time,test_nbaccuracy,test_accuracy
0.864598274230957,0.03500533103942871,0.9861600232344369,0.9834660134721371
0.8601422309875488,0.03654646873474121,0.9869450036285377,0.9846907532149418
0.813162088394165,0.03388023376464844,0.9881617383308761,0.9853031230863442
0.8810315132141113,0.036423683166503906,0.9889518363661729,0.9895897121861604
0.8749315738677979,0.035941123962402344,0.9926799184183912,0.9914268218003675
0.8603508472442627,0.034952402114868164,0.9904159344771465,0.9883649724433557
0.8473494052886963,0.03468799591064453,0.992198211286075,0.9908088235294118
0.9850876331329346,0.03958296775817871,0.9925228415703847,0.9908088235294118
0.8489913940429688,0.03329133987426758,0.9904784772534185,0.9883578431372549
0.8715009689331055,0.03512692451477051,0.987640276465496,0.9889705882352942
