TIME,CORE,RAM,CPU,MEMORY
01:19:30.675260211,0.00,3.17,4.5,43867184
01:19:32.364302721,0.00,3.20,4.2,43576096
01:19:34.038942702,0.00,3.35,62.8,41861768
01:19:35.709946768,0.00,3.72,88.4,39575876
01:19:37.465276983,0.00,3.84,54.9,37243900
01:19:39.271037265,0.00,4.62,80.9,34942152
01:19:41.149056781,0.00,5.74,96.9,32483824
01:19:43.155700474,0.00,6.59,99.6,29975476
01:19:45.261006306,0.00,6.93,94.6,27277444
01:19:47.449629683,0.00,8.31,100,24737660
01:19:49.771473291,0.00,7.24,99.8,22910544
01:19:52.333872830,0.00,7.47,100,22770676
01:19:54.644335535,0.00,7.32,99.9,22597168
01:19:57.205282657,0.00,7.40,100,22434356
01:19:59.972260305,0.00,7.33,100,22254952
01:20:02.716522586,0.00,7.09,100,21908320
01:20:05.466377256,0.00,7.45,100,21652220
01:20:08.453488341,0.00,7.29,100,21530312
01:20:10.918485089,0.00,7.30,100,21389952
01:20:13.478336632,0.00,7.24,100,21269796
01:20:16.053405157,0.00,7.53,99.9,21136544
01:20:18.580377598,0.00,7.29,100,21306588
01:20:21.258423786,0.00,7.49,100,21667700
01:20:23.870433937,0.00,6.47,100,22555376
01:20:26.457362656,0.00,7.02,100,22502460
01:20:28.975503545,0.00,7.24,100,22364276
01:20:31.613359552,0.00,7.51,100,22209220
01:20:34.385572446,0.00,7.46,100,22089568
01:20:36.985400391,0.00,7.90,100,21937440
01:20:39.952540262,0.00,7.41,100,21820572
01:20:42.430403170,0.00,7.28,100,21708828
01:20:44.901365900,0.00,7.37,99.9,21567140
01:20:47.386536047,0.00,7.25,99.8,21448700
01:20:49.999384358,0.00,7.45,100,21305056
01:20:52.551590835,0.00,7.31,100,21382132
01:20:55.229464848,0.00,7.25,100,21259624
01:20:57.659440262,0.00,7.21,100,21114524
01:21:00.533399147,0.00,7.56,100,21541524
01:21:03.279454602,0.00,7.02,100,21805096
01:21:05.855387622,0.00,7.32,100,21856388
01:21:08.407395137,0.00,7.47,100,22092756
01:21:11.281402978,0.00,7.33,100,22276460
01:21:14.025372363,0.00,7.43,100,22005652
01:21:16.606387088,0.00,7.58,100,21873032
01:21:19.263389190,0.00,7.32,100,21737972
01:21:21.917496305,0.00,7.61,100,21589176
01:21:24.709411260,0.00,7.20,100,21742260
01:21:27.187546448,0.00,7.45,100,21543264
01:21:29.710545895,0.00,7.16,100,21424740
01:21:32.423408690,0.00,6.99,100,21312788
01:21:35.110409426,0.00,7.44,100,21204268
01:21:37.578465233,0.00,6.73,99.4,21132424
01:21:39.900442935,0.00,6.73,100,21064188
01:21:42.396418418,0.00,6.53,100,22048264
01:21:44.864365284,0.00,5.58,100,22494476
