fit_time,score_time,test_mae,test_mse,test_distance,test_r2
306.4982101917267,96.3915913105011,3882.7972202031265,22928999.14235895,3961.2850582231804,-1436.503208807165
305.85351037979126,96.05224657058716,3787.7152345676195,22198208.83198343,3864.2810610819974,-1502.0859213494862
306.1916286945343,96.54052996635437,3789.6331642115497,22259364.16141915,3866.23776027085,-1404.32503863296
306.51648926734924,96.40081930160522,3829.7673045556744,22592104.74673764,3907.1831828552577,-1457.5265498671065
306.80860352516174,95.61875796318054,3774.812612449756,22061261.26474868,3851.117621947045,-1456.4974159041308
308.6042881011963,96.10756206512451,3825.7414244658703,22700319.284175783,3903.0759227924095,-1517.4819491489586
305.8293786048889,96.14205718040466,3802.131354141251,22338006.40571666,3878.988591756312,-1414.9553225216664
305.3475205898285,96.25104117393494,3715.7288161213824,21974409.595071327,3790.8394916806683,-1392.7765175649365
306.24733901023865,96.14693355560303,3876.716557312425,22869219.908856295,3955.081479343015,-1440.2474541456295
306.4194996356964,96.33963537216187,3726.04768456967,21632874.903586697,3801.3669471887406,-1391.7755709618627
