Accuracy,MAE,MSE,Runtime,bootstrap,bootstrap_features,genCount,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime
0.9984971856792588,3.0294192121696706,58.916332630338545,103.59025466442108,True,True,12,88,True,0.00041675944143939545,0.19303106134213985,16.33863714218912,8.84537085976166
0.9984971856792588,3.0294192121696706,58.916332630338545,79.22196412086487,True,True,20,88,False,0.00041675944143939545,0.19303106134213985,16.33863714218912,4.372276090339553
0.9984964592470303,3.025416289097147,58.94481167941967,99.7384092092514,True,True,12,96,False,0.00041585597548566454,0.19292248718086008,16.30321766294127,5.298502881759376
0.9984964592470303,3.025416289097147,58.94481167941967,98.59998209476471,True,True,20,96,True,0.00041585597548566454,0.19292248718086008,16.30321766294127,5.125566700206391
0.9984866970016529,3.0544017043337535,59.327530747201436,67.96589398384094,True,True,12,64,False,0.00042043763528400234,0.19325454566061148,16.482837053673677,1.5680861865984708
0.9984826751045393,3.0622317783058985,59.48520520163775,74.09160928726196,True,True,12,60,True,0.0004169985838443269,0.19349305041799048,16.348012481031308,2.852382748632143
0.9984826751045393,3.0622317783058985,59.48520520163775,54.39044713973999,True,True,20,60,False,0.0004169985838443269,0.19349305041799048,16.348012481031308,0.766139065352414
0.9984790473711188,3.0698786895364836,59.62742686265366,59.221783828735354,True,True,12,56,False,0.0004214654863760062,0.19623927326850563,16.523132927884856,0.8981738612886115
0.9984712152107367,3.099541324190829,59.934478878283855,43.08817069530487,True,True,12,40,False,0.0004111565316743335,0.1881307364593323,16.118980667761328,0.6940948145567029
0.9984712152107367,3.099541324190829,59.934478878283855,42.27472355365753,True,True,20,40,True,0.0004111565316743335,0.1881307364593323,16.118980667761328,0.79449106105244
0.9983914065079382,3.067582996607046,63.06329926279055,111.66908383369446,True,False,12,100,True,0.0004357710187047648,0.2065223565890265,17.08396701730118,11.342483151487086
0.9983885139155753,3.075968117252338,63.17670045378286,100.26361153125762,True,False,12,88,True,0.0004427631978342629,0.20952543551196154,17.358088407893142,5.347763312539456
0.9983828259058939,3.080423772412927,63.39969318533944,80.57381091117858,True,False,12,76,False,0.0004563253981291436,0.21210149821126043,17.88978090825498,3.0604071126223
0.9983611412248459,3.109390111943558,64.24981942114225,61.80114402770996,True,False,12,52,True,0.00045616263376810665,0.21522589257841218,17.88339989424458,1.1536124350964498
0.998356070159341,3.13027715984562,64.44862547320106,49.07455534934998,True,False,12,40,True,0.00044772471821228797,0.2080954988790274,17.552599852794575,0.6609823121304519
0.9982646032125269,3.4517015137530778,68.03449565610043,10.252042818069459,True,True,12,8,True,0.00040753672486992023,0.18886397640670544,15.977069761800989,0.28564735087582477
