Accuracy,MAE,MSE,Runtime,bootstrap,criterion,genCount,max_features,min_samples_split,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0.9989844012266991,1.6770895079842874,39.81553430849468,2.050302743911743,True,mse,57,,2,15,True,0.0003503977145336777,0.4971700054797811,13.736992000578063,4.618428453784076,True
0.998977416851482,1.738327403073986,40.089349754496276,2.460132122039795,True,mse,44,,4,15,True,0.00034015034599263835,0.4688074931435646,13.335254164296247,5.062142999685119,True
0.9989603404891605,1.8391301196992849,40.75881146295267,2.5117849826812746,True,mse,25,,6,15,True,0.00034412563493255676,0.46635808660540723,13.491101391896306,5.605658324881776,True
0.9989584755419194,1.7115517467238548,40.83192485459079,1.8528450965881347,True,mse,44,,2,10,True,0.0003600492097497296,0.5274909025807549,14.115369219028729,3.7649577736028976,True
0.9989557642131025,1.7722625298221382,40.93821978953003,1.814664936065674,True,mse,44,,4,10,True,0.0003418389880962933,0.4797543941803888,13.401455689326358,3.7617082731517226,True
0.9989462188810843,2.121084760480252,41.31243498596883,1.2855629682540894,True,mse,57,,2,15,True,0.00034670032107394854,0.5020751331658062,13.592039387383572,1.9280424245747083,True
0.9989290024161486,1.7190865838446918,41.987389277314485,77.42297093868255,True,mae,71,,2,15,True,0.000375972223480042,0.549181995105465,14.739615049311585,243.03267282247134,True
0.9989071860714193,1.828457041951755,42.842677256077586,240.7976961374283,True,mae,44,,6,15,False,0.00037024492487120424,0.5096077097891646,14.515082034649621,760.5422358380433,True
0.9989002627333832,2.348674850026756,43.11409980044392,0.5445072174072265,True,mse,57,sqrt,4,15,False,0.0003593278103568679,0.5521470615712234,14.087087477231904,0.4779367852054706,True
0.998878749546566,1.7592816847759187,43.95750277642638,170.45555922985076,True,mae,25,,2,10,True,0.00040210149246210894,0.542107114803968,15.763986910484943,537.4446879073274,True
0.9988785477221234,2.5778927555445645,43.965415101876225,0.7528085708618164,True,mse,25,sqrt,6,25,False,0.0003426584421615366,0.485153721770522,13.433581566502038,0.7982240908649116,True
0.9988785477221234,2.5778927555445645,43.965415101876225,1.383348321914673,True,mse,44,sqrt,6,25,True,0.0003426584421615366,0.485153721770522,13.433581566502038,0.6493950547700877,True
0.9988555198879021,2.44130927485524,44.868198314685706,0.4255851745605469,True,mse,40,sqrt,4,10,False,0.000367479624847684,0.5713360133108322,14.40667121253008,0.29928781462869547,True
0.9988555198879021,2.44130927485524,44.868198314685706,0.873691177368164,True,mse,25,sqrt,4,10,True,0.000367479624847684,0.5713360133108322,14.40667121253008,0.6011971060536289,True
0.9988526867827228,2.516741922670863,44.97926737013974,2.9685308933258057,True,mae,71,sqrt,4,15,True,0.0004368570477215345,0.40614630591106793,17.12654369887517,7.443393135146243,True
0.998852086829938,2.344974683396937,45.00278791911868,6.99973087310791,True,mae,25,sqrt,2,10,True,0.00039560071227673187,0.5927092843053025,15.509130324095834,20.432539076225815,True
0.9988431901748485,2.482821493968982,45.35157238524448,8.82414071559906,True,mae,25,sqrt,4,15,False,0.00035999872490835626,0.45915872361777554,14.113390011307649,26.834177142056955,True
0.9988378074850506,1.7912152977306721,45.56259535608363,159.98189463615418,True,mae,44,,4,10,True,0.0004587426232845541,0.5410810605337097,17.98454580324931,504.3620162708581,True
0.9988350356990836,2.6552903518200557,45.67126045312772,12.44848268032074,True,mae,25,sqrt,6,20,False,0.00032547932367790186,0.46584903463029864,12.760091405468287,38.273642165998005,True
0.9988350356990836,2.6552903518200557,45.67126045312772,12.291835403442382,True,mae,25,sqrt,6,20,False,0.00032547932367790186,0.46584903463029864,12.760091405468287,37.84890364383009,True
0.9988258356178322,2.6963472538071676,46.03194043850493,0.9795564651489258,True,mse,44,sqrt,6,15,True,0.0003619469176208398,0.49088681636261056,14.189766958407166,0.6773792692847348,True
0.9987914572246728,2.7245044683065727,47.37971096393027,9.12397768497467,True,mae,44,sqrt,6,15,True,0.00031130439371322146,0.4656117215478848,12.204377451133482,26.789742213191293,True
0.9987914572246728,2.7245044683065727,47.37971096393027,9.251646614074707,True,mae,44,sqrt,6,15,True,0.00031130439371322146,0.4656117215478848,12.204377451133482,27.020868009054954,True
0.9987914572246728,2.7245044683065727,47.37971096393027,9.029416179656982,True,mae,44,sqrt,6,15,False,0.00031130439371322146,0.4656117215478848,12.204377451133482,27.500428491468583,True
0.9987579661617589,3.023737268944015,48.692694594406305,6.295614409446716,True,mae,71,sqrt,2,25,True,0.0003771492071433737,0.5199115542606699,14.785757516849337,17.39428803582201,True
0.998716010810939,2.907433663096733,50.33751216794475,0.6159550905227661,True,mse,57,,6,10,True,0.0003649035469847509,0.6258170139757832,14.305678655989407,0.06635543663315868,True
0.998716010810939,2.907433663096733,50.33751216794475,0.4237562894821167,True,mse,14,log2,4,10,False,0.0003649035469847509,0.6258170139757832,14.305678655989407,0.23541558427021783,True
0.9986966974350715,2.922917280321884,51.09467375545957,3.069611406326294,True,mae,57,sqrt,4,10,True,0.0003941162493182275,0.49508354327033466,15.450933438271765,7.962593110910932,True
0.9986096925257849,2.855555612927134,54.505614219133214,3.7277560234069824,True,mae,25,sqrt,4,5,True,0.0003733621520092641,0.502135592230738,14.63728980736995,10.494521956820453,True
0.9985908218766439,3.376130855724385,55.245419148047084,0.5885584592819214,True,mse,57,,6,10,True,0.0005105945003135265,0.6051633149019358,20.01734679029123,0.09767768909983439,True
0.9985614122419031,3.6044704254385778,56.398394468428535,5.695115232467652,True,mae,44,log2,2,20,False,0.00043695876826718364,0.5307211045853332,17.130531551147033,17.04138053626374,True
