Accuracy,MAE,MSE,Runtime,bootstrap,criterion,generacion,max_features,min_samples_split,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0.9989630742846387,2.045989560286854,40.65163574502458,2.0264700651168823,True,mse,0,sqrt,2.0,18.0,True,0.000649396561320685,0.7153054473206073,25.458942790016895,1.005147289814397,True
0.9989317046856566,1.9588001623723887,41.881449503517885,2.764426922798157,True,mse,0,,5.0,12.0,False,0.0006347288644900907,0.5428065469345855,24.88391040347042,6.659001832200696,True
0.9989222271959048,1.8777962995219,42.253005011744435,310.86379930973055,True,mae,0,,5.0,20.0,False,0.0006677339170577106,0.5612890524035163,26.177840484329163,981.9625894962674,True
0.998913462437581,1.8305713389738663,42.59661859707383,0.9603693008422851,True,mse,1,,2.0,8.0,True,0.0006332121115353537,0.6011626175097022,24.824447620631894,1.5306816642764578,True
0.9988965277815712,2.1770364789057295,43.26052485127995,3.7148463487625123,True,mse,0,,8.0,18.0,True,0.0006372713996793594,0.505550762285749,24.983587953030742,8.829223707864774,True
0.9988750110382062,1.8338747207905566,44.10406725816684,190.67307603359222,True,mae,0,,2.0,12.0,False,0.0006719333438180021,0.581457979903727,26.342474811042198,602.0012971240967,True
0.9988729317146149,2.3033689491919214,44.1855850602323,0.766553544998169,True,mse,0,log2,2.0,12.0,False,0.0006462965558467591,0.7478695264396961,25.337410175415727,0.4421448287127955,True
0.9988209149771297,2.486949024667271,46.224849236607966,2.7941617250442503,True,mse,0,,10.0,10.0,True,0.0006268936464002748,0.4843359780397072,24.576738513476023,5.132040753660989,True
0.9988088440625624,2.3712869000328043,46.6980773713016,1.8002843618392945,True,mse,0,,8.0,8.0,True,0.0006436135503587358,0.5228168675918852,25.232225628264562,2.472118249976693,True
0.998750379541189,2.988982899847618,48.99012046722057,1.0258670091629027,True,mse,0,sqrt,5.0,18.0,False,0.0006338060891732343,0.5434938641534319,24.84773391994728,0.7427628776803,True
0.9986462797536783,3.180237375291891,53.071248536796816,1.1950117349624634,True,mse,0,sqrt,5.0,10.0,True,0.0006338971120437037,0.5824811667667488,24.851302380562466,0.33869153556776216,True
