Accuracy,MAE,MSE,Runtime,generacion,learning_rate,loss,n_estimators,stdApproach,stdMAE,stdMSE,stdRuntime
0.9985942574521547,1.7584142653344308,55.11073084573191,110.73383471965789,0,0.01,linear,50.0,0.0006921321757733646,0.26037995607432535,27.134349819018013,2.4030208795388925
0.9985870255182269,1.751439344473861,55.39425158343418,210.3110045671463,0,0.01,square,100.0,0.000798176235566783,0.2841280319999754,31.29170113916112,12.000699379119352
0.9985601577542174,1.7844489650883353,56.44757540366942,230.02196893692016,0,0.1,linear,500.0,0.0008185075938274397,0.2857387949605584,32.08877170840984,85.73421000889583
0.99854831097244,1.802226563732247,56.912016636459875,127.322758436203,0,0.1,square,50.0,0.0007243226835345808,0.2657223435988179,28.39634648528972,4.929562931352953
0.9984312609676337,2.1331908810978217,61.50084502488058,276.47207806110384,0,0.1,square,500.0,0.0007300591619838694,0.6322603511174328,28.621239386414786,245.69019345881733
0.9981149645600951,2.5203951774777993,73.90092938603023,36.679111456871034,2,,,,0.0008554540775828943,0.29376039163698625,33.537221657560266,12.438697403589368
0.9972662532314134,3.766253467729782,107.17380831566729,23.80989091396332,0,2.0,linear,100.0,0.0007894869059868275,0.3707941363393645,30.951044662308508,13.255043964065228
0.9958706001540684,5.768032941055852,161.88899155991095,56.574588656425476,0,2.0,exponential,50.0,0.0009604443714413785,0.5779553472318352,37.653261137987066,2.4345682303325353
0.9796161882980761,16.695199266568714,799.126953962225,77.16382114887237,0,2.0,exponential,100.0,0.0024609879346349063,1.2615200580524928,96.48057098942837,2.587250564322644
0.9162253270106163,44.88139015154384,3284.302279875786,256.60764503479004,0,1.0,exponential,500.0,0.006676807215783952,2.206086874178269,261.7575500875923,18.04918983403869
