LONGITUDE,fit_time,score_time,test_mae,test_mse,test_distance,test_r2
AdaBoostRegressor,83.0096436023712,0.443864798545837,2.06129351386747,24.6259360102077,2.10296098792782,0.998410777172094
BaggingRegressor,9.46998026371002,0.34227454662323,2.74254298838763,30.0212557663337,2.79798140034774,0.998065920804187
DecisionTreeRegressor,1.46907739639282,0.08244993686676,2.78240207507743,56.1031915889566,2.83864620802113,0.996383002141148
ElasticNet,0.8980717420578,0.084130001068115,32.831996105501,1554.82663038174,33.4956698297397,0.899751747751032
ExtraTreesRegressor,9.54521231651306,0.135256695747375,2.54018006181255,31.411137598199,2.59152786179366,0.997974266496544
GaussianProcessRegressor,306.431646800041,96.1991174459457,3801.10913725983,22355476.8244655,3877.94571171395,-1441.41749489039
GradientBoostingRegressor,38.5647480487823,0.166301679611206,8.87177654322182,139.781714852896,9.05111273044548,0.990982129994975
KNeighborsRegressor,1.98264973163605,31.7518799066544,3.80623042792164,50.6658844258826,3.88317046908404,0.996739646032956
Lasso,1.05428204536438,0.081150054931641,19.3710920021256,552.791486532298,19.7626638324831,0.96432921816345
LinearRegression,2.53114395141602,0.085232996940613,8.54028898012365,138.988202643745,8.71292439956818,0.991028279111654
PassiveAggressiveRegressor,0.78398289680481,0.081812381744385,158.575941304833,36130.775816374,161.781432889849,-1.34250470686659
RandomForestRegressor,8.23934376239777,0.121974492073059,2.76424494340411,30.8241159557273,2.82012204381971,0.998014026769126
Ridge,0.84853367805481,0.084967470169067,8.50769202491424,135.94010861377,8.67966852182188,0.991226154591558
SVR,348.231183695793,154.37614467144,63.791368879401,6159.19061109129,65.0808626720217,0.602990358026758
