Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,bootstrap,bootstrap_features,n_estimators,oob_score
0.9982243158323428,0.0003784605470580115,33.08499133282992,7.051571527921645,2.4637397705908404,0.14601994450491532,226.50629835128785,3.278101918345909,4.691353678703308,0.7436039445392842,True,True,96,False
0.9982243158323428,0.0003784605470580115,33.08499133282992,7.051571527921645,2.4637397705908404,0.14601994450491532,253.67672793865205,3.7436507587471106,4.977979302406311,0.7808755832021035,True,True,96,True
0.9982237846635433,0.0003793051794166036,33.094888202694996,7.067308929185011,2.464926286519925,0.14708497121292005,220.045867228508,2.518521602347955,4.33272225856781,0.3704133242267148,True,True,92,False
0.9982237846635433,0.0003793051794166036,33.094888202694996,7.067308929185011,2.464926286519925,0.14708497121292005,238.60123703479766,2.311785043528997,5.435537505149841,0.5023730950326086,True,True,92,True
0.9982218942529228,0.0003792972720962291,33.13011080597784,7.067161598015572,2.465165171185644,0.144941272397536,229.97522928714753,2.770020407258989,5.396607804298401,0.7221817315858432,True,True,100,False
0.9982218942529228,0.0003792972720962291,33.13011080597784,7.067161598015572,2.465165171185644,0.144941272397536,263.5408750534058,2.4528499798782755,4.681585788726807,0.4276125237479263,True,True,100,True
0.9982109093868065,0.00037993899247413913,33.33478357767461,7.079118292526668,2.474223117575001,0.14860829138197384,141.32723836898805,6.9912760647646275,2.0047588109970094,0.20865009092077152,True,True,80,False
0.9982034296411956,0.00038649014502512176,33.47414806783482,7.201181004644776,2.488346880341423,0.14780419981363488,141.31464438438417,1.9010326394749508,3.381951022148132,0.5710007312961767,True,True,60,False
0.9982030402212155,0.00038080590727354824,33.48140383825878,7.095270865798299,2.4786185008755157,0.14737028915669712,206.3491530418396,2.576914665194924,3.8252119779586793,0.3510203399524878,True,True,76,True
0.9982021520296174,0.00038450212998342187,33.49795284616039,7.164139811383617,2.4872462752853153,0.14702850374762508,171.66987464427947,2.642937681493841,2.92375648021698,0.34050638701479596,True,True,64,True
0.9982012853570946,0.00038290444885504476,33.514100905273146,7.134371417180036,2.4838208704875377,0.14789881463362659,191.33517541885377,3.788158793191457,3.1883551836013795,0.16384565450933336,True,True,72,True
0.9982012691564345,0.00038411045771392113,33.514402760026805,7.156842075739431,2.493980482960129,0.14657986215104932,152.1635224342346,2.288004269242164,2.7609302759170533,0.2132164070769996,True,True,56,True
0.9981992170975914,0.00037907036201451604,33.552637233401,7.062933752644345,2.497543872114895,0.14266900851442751,123.19048674106598,1.6488435517878894,2.3674463510513304,0.2531783242283997,True,True,52,False
0.9981992170975914,0.00037907036201451604,33.552637233401,7.062933752644345,2.497543872114895,0.14266900851442751,137.39455287456514,3.1115146452422517,2.6696120738983153,0.2536916603890268,True,True,52,True
0.9981924429573399,0.0003782599507086748,33.678854708104645,7.047833966591773,2.510844359645109,0.14105096888421093,102.51844735145569,1.5387283254197648,2.42824125289917,0.3064850284444649,True,True,44,False
0.9981924429573399,0.0003782599507086748,33.678854708104645,7.047833966591773,2.510844359645109,0.14105096888421093,116.35922155380248,1.7437156969115906,2.28265221118927,0.3608121424869038,True,True,44,True
0.9981802438251591,0.0003853031663952977,33.90615198867816,7.179064922068316,2.5250022356652484,0.14312866583824857,104.82458508014679,1.1496383744181948,2.0379047870635985,0.17875147082597792,True,True,40,True
0.9981727334379449,0.0003846835975557935,34.0460874008523,7.167520960559116,2.5377977765487003,0.14438841233474534,87.31796209812164,3.0592282779370326,2.1685739278793337,0.267286251225091,True,True,36,False
0.9981727334379449,0.0003846835975557935,34.0460874008523,7.167520960559116,2.5377977765487003,0.14438841233474534,94.35396723747253,3.0020956198059134,1.8981749773025514,0.17874001445213727,True,True,36,True
0.99816439600314,0.00037990302046239454,34.201432570494475,7.078448053010761,2.548334816914555,0.14484400073866244,81.78409163951873,1.3809080490027374,1.9284294843673706,0.31630199965009337,True,True,32,True
0.99813821634705,0.0003833651749570389,34.68921846767709,7.142955781092927,2.592167562573455,0.14424838202428877,52.639012932777405,0.5894208024823765,1.370153832435608,0.20206421814945677,True,True,24,False
0.998125918967431,0.0003728729948786184,34.91834631908515,6.947462858827025,2.6188671023041943,0.14360309364783008,52.174608206748964,0.9961525077996877,1.1804108619689941,0.10562674319842567,True,True,20,True
0.9981035494723508,0.00036967068845968493,35.33514034379417,6.887796685053645,2.6551178785566476,0.13908575782120017,47.22327468395233,1.817329852489045,1.0891467094421388,0.11272919626204164,True,True,16,True
0.9980496136081115,0.0004182231664626982,36.34008685026288,7.792438593324597,2.527448183151995,0.15693596641254356,133.69714360237123,2.1397138312816457,2.326915955543518,0.22961534232379935,True,False,100,False
0.9980461224657853,0.00041877954777808085,36.40513468687276,7.802805229087483,2.527785317434707,0.15527378441333978,223.8968609571457,1.4247072110264558,4.7341173648834225,0.33394647713224446,True,False,96,False
0.9980461224657853,0.00041877954777808085,36.40513468687276,7.802805229087483,2.527785317434707,0.15527378441333978,247.33312497138976,2.2732091431859627,4.792490696907043,0.41429819380483834,True,False,96,True
0.9980443088979897,0.00038001854793738604,36.438925535431615,7.080600589805673,2.7062651743126285,0.14648836378760613,28.86959226131439,1.07166794724988,0.9275229215621948,0.09668924229854134,True,True,12,False
0.99804371623086,0.00041891269590962655,36.44996825755712,7.80528607836204,2.529973253815623,0.1573864550397886,239.11834642887115,3.9646187166953295,4.423642969131469,0.4034560328089251,True,False,92,True
