Approach,MAE,MSE,Runtime,bootstrap,criterion,generacion,max_features,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0,100,100,0,True,mse,1,log2,20,True,0,100,100,0,True
0,100,100,0,True,mse,1,log2,15,True,0,100,100,0,True
0,100,100,0,True,mae,1,sqrt,15,True,0,100,100,0,True
0,100,100,0,True,mae,1,sqrt,10,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,18,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,15,False,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,15,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,12,False,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,12,True,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,10,False,0,100,100,0,True
0,100,100,0,True,mse,1,sqrt,10,True,0,100,100,0,True
0,100,100,0,False,mae,6,log2,20,False,0,100,100,0,False
