Accuracy,stdAccuracy,Mse,stdMse,Mae,stdMae,FitTime,stdFitTime,ScoreTime,stdScoreTime,bootstrap,criterion,max_features,min_samples_split,n_estimators,oob_score,warm_start
0.9982966395631176,0.00039804610256521315,66.77854256753096,15.60499940496636,3.3347479928059474,0.17984579521551233,46.71908001899719,2.463030317074248,0.40266449451446534,0.0892389235344027,True,mse,,2,25,False,True
0.9982966395631176,0.00039804610256521315,66.77854256753096,15.60499940496636,3.3347479928059474,0.17984579521551233,47.44852674007416,4.176399859664138,0.4277305603027344,0.11885998181569482,True,mse,,2,25,True,False
0.9982966395631176,0.00039804610256521315,66.77854256753096,15.60499940496636,3.3347479928059474,0.17984579521551233,47.75413720607757,2.7920767578867776,0.33388683795928953,0.0698713199991541,True,mse,,2,25,True,True
0.9982966395631176,0.00039804610256521315,66.77854256753096,15.60499940496636,3.3347479928059474,0.17984579521551233,48.61430788040161,2.6560243679679147,0.3494607925415039,0.12158182314882221,True,mse,,2,25,False,False
0.9982856088571885,0.00033155548191139656,67.21099036278278,12.998301112853975,3.859105486642603,0.1456761830184623,3.2403377294540405,0.2532568248695156,0.23421752452850342,0.04923539433457541,True,mse,sqrt,2,25,False,False
0.9982856088571885,0.00033155548191139656,67.21099036278278,12.998301112853975,3.859105486642603,0.1456761830184623,3.5963863134384155,0.21067719331812507,0.19570891857147216,0.04278983047518834,True,mse,sqrt,2,25,False,True
0.9982856088571885,0.00033155548191139656,67.21099036278278,12.998301112853975,3.859105486642603,0.1456761830184623,3.9917718410491942,0.41249428938256244,0.2556056261062622,0.06564968586433088,True,mse,sqrt,2,25,True,True
0.9982856088571885,0.00033155548191139656,67.21099036278278,12.998301112853975,3.859105486642603,0.1456761830184623,4.423410773277283,0.3587396222393034,0.252866530418396,0.07200558721174544,True,mse,sqrt,2,25,True,False
0.9982612336322529,0.0004072406864789435,68.16659668115496,15.96546387272019,3.4127405387457146,0.17094747106669916,43.875446510314944,1.4505506215105881,0.34379532337188723,0.13321304202528886,True,mse,,5,25,False,False
0.9982612336322529,0.0004072406864789435,68.16659668115496,15.96546387272019,3.4127405387457146,0.17094747106669916,45.615161991119386,3.3145116694402135,0.3715076446533203,0.08735655129033777,True,mse,,5,25,True,True
0.9982612336322529,0.0004072406864789435,68.16659668115496,15.96546387272019,3.4127405387457146,0.17094747106669916,46.3463143825531,1.7783641019228216,0.3413895845413208,0.06171984306220853,True,mse,,5,25,False,True
0.9982612336322529,0.0004072406864789435,68.16659668115496,15.96546387272019,3.4127405387457146,0.17094747106669916,46.877240252494815,3.026675923434917,0.3727318525314331,0.09548991870832578,True,mse,,5,25,True,False
0.9982596709661494,0.00040984720857255714,68.22785944307556,16.06764996487869,3.372561626316239,0.1948046185480883,36.37040815353394,1.9109822336327629,0.3339924573898315,0.07496812387471893,True,mse,,2,20,False,True
0.9982596709661494,0.00040984720857255714,68.22785944307556,16.06764996487869,3.372561626316239,0.1948046185480883,36.665960383415225,2.1864621432133533,0.3404909610748291,0.06595399619984917,True,mse,,2,20,False,False
0.9982596709661494,0.00040984720857255714,68.22785944307556,16.06764996487869,3.372561626316239,0.1948046185480883,36.85840647220611,1.2857466640712085,0.31582696437835694,0.08109475306776595,True,mse,,2,20,True,True
0.9982596709661494,0.00040984720857255714,68.22785944307556,16.06764996487869,3.372561626316239,0.1948046185480883,37.43765721321106,2.1271874866417386,0.26608164310455323,0.05872645368377782,True,mse,,2,20,True,False
0.9982498914574002,0.0003279162477772466,68.61125530408812,12.855628577858951,3.908204858107766,0.1364052529234977,2.457104134559631,0.19069726540438678,0.1423675537109375,0.048962509993074214,True,mse,sqrt,2,20,False,False
0.9982498914574002,0.0003279162477772466,68.61125530408812,12.855628577858951,3.908204858107766,0.1364052529234977,2.6803083419799805,0.2757655920998217,0.17733750343322754,0.05983895487115218,True,mse,sqrt,2,20,False,True
0.9982498914574002,0.0003279162477772466,68.61125530408812,12.855628577858951,3.908204858107766,0.1364052529234977,3.045465016365051,0.28598888786917703,0.14990561008453368,0.04295313877056854,True,mse,sqrt,2,20,True,True
0.9982498914574002,0.0003279162477772466,68.61125530408812,12.855628577858951,3.908204858107766,0.1364052529234977,3.4450785160064696,0.1756260227864607,0.17361726760864257,0.06511151505159572,True,mse,sqrt,2,20,True,False
0.9982464842099725,0.0004079040963802429,68.74483303224135,15.991472194490111,3.3960606584321607,0.19572796886390684,33.560188460350034,1.5567118183041873,0.29417378902435304,0.053612387411141764,True,mse,,2,18,False,False
0.9982464842099725,0.0004079040963802429,68.74483303224135,15.991472194490111,3.3960606584321607,0.19572796886390684,33.63683121204376,2.038402468628396,0.3115525484085083,0.08188935715047957,True,mse,,2,18,False,True
0.9982464842099725,0.0004079040963802429,68.74483303224135,15.991472194490111,3.3960606584321607,0.19572796886390684,34.025391936302185,1.250003116851452,0.34972209930419923,0.0776720394110381,True,mse,,2,18,True,False
0.9982464842099725,0.0004079040963802429,68.74483303224135,15.991472194490111,3.3960606584321607,0.19572796886390684,34.22820787429809,1.5744419957016196,0.2659292697906494,0.06579144356094407,True,mse,,2,18,True,True
0.9982387260905945,0.0004159632126905492,69.04898234433018,16.307421790319967,3.4536244512945595,0.17590000328669567,34.53995051383972,1.1179229532099901,0.34866421222686766,0.09961161578199582,True,mse,,5,20,False,False
0.9982387260905945,0.0004159632126905492,69.04898234433018,16.307421790319967,3.4536244512945595,0.17590000328669567,36.49813196659088,3.1116652822457738,0.33318684101104734,0.0766516580149187,True,mse,,5,20,False,True
