Accuracy,MAE,MSE,Runtime,bootstrap,bootstrap_features,genCount,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime
0.9982243150657523,2.4637435786462456,33.085005616136115,122.0969633102417,True,True,12,96,True,0.0003989373816916547,0.15392678584608724,7.433101030024343,6.8376288711744655
0.9982217705623938,2.464649778508806,33.132415438834315,111.95827422142028,True,True,12,88,True,0.0003984089131221773,0.15526257477076763,7.42325447152116,4.54397106163387
0.9982217705623938,2.464649778508806,33.132415438834315,80.14211554527283,True,True,18,88,False,0.0003984089131221773,0.15526257477076763,7.42325447152116,1.0223998376992025
0.9982109073180029,2.4742269512816923,33.3348221241427,89.9090169429779,True,True,12,80,False,0.0004004968856222955,0.156655073029228,7.462158097136426,2.357012617351797
0.9982034294950832,2.4883496794145907,33.47415079023513,78.5273952960968,True,True,12,60,True,0.00040740204432870657,0.15580769258062302,7.590816740444018,1.2910376837322053
0.9982012682860804,2.4939836452652524,33.51441897667925,58.677750730514525,True,True,31,56,True,0.0004048929031568145,0.15451735954731122,7.544065794842738,1.0444998883287262
0.9981035572265909,2.6551189662065866,35.33499586484794,21.461191153526308,True,True,12,16,True,0.0003896698780661928,0.1466145257767392,7.260426585599537,0.3272932605030369
0.9981035572265909,2.6551189662065866,35.33499586484794,21.3964462518692,True,True,12,16,True,0.0003896698780661928,0.1466145257767392,7.260426585599537,0.40420578732503637
0.9980461112201849,2.5277899959074115,36.405344217704,98.7347285270691,True,False,26,96,True,0.0004414476880629643,0.16368717665062454,8.225163685910466,0.8802046101961832
0.9980437044230115,2.5299781642706507,36.45018826434182,101.6083562374115,True,False,12,92,False,0.0004415882352866701,0.1659146277746374,8.227782396919956,3.5776457232501215
0.9980437044230115,2.5299781642706507,36.45018826434182,114.19664666652679,True,False,12,92,True,0.0004415882352866701,0.1659146277746374,8.227782396919956,5.023010978877967
0.9980437044230115,2.5299781642706507,36.45018826434182,114.16749622821808,True,False,12,92,True,0.0004415882352866701,0.1659146277746374,8.227782396919956,4.720363323893168
0.9980112490374113,2.583686271442365,37.05490512269145,51.44746131896973,True,False,12,40,True,0.00044850793184025465,0.1660769233174409,8.356711913030507,0.8260369956966876
0.9980108573584608,2.5804263550042443,37.062202982817894,56.285372257232666,True,False,12,44,True,0.0004439441835326251,0.16733444476687445,8.27167901362521,1.000339836156499
0.9980108573584608,2.5804263550042443,37.062202982817894,56.38689584732056,True,False,12,44,True,0.0004439441835326251,0.16733444476687445,8.27167901362521,0.9559942818135204
