Accuracy,MAE,MSE,Runtime,bootstrap,criterion,genCount,max_features,min_samples_split,n_estimators,oob_score,stdApproach,stdMAE,stdMSE,stdRuntime,warm_start
0.9989729932276461,1.4126261555145128,19.135446934194967,2.1408838748931887,True,mse,60,,2,25,True,0.0002963914041062752,0.3240014058124596,5.522438739158717,3.7168312891654662,True
0.9989280475331561,1.5842118807633676,19.972886350351153,1.5420701026916503,True,mse,37,sqrt,2,25,True,0.0003405202244101181,0.45721390578771404,6.344657951265105,0.9147420752489568,True
0.9989280475331561,1.5842118807633676,19.972886350351153,0.7342645168304444,True,mse,37,sqrt,2,25,False,0.0003405202244101181,0.45721390578771404,6.344657951265105,0.8419141939202746,True
0.9989213930853189,1.3314647795029873,20.096873686064583,3.583622860908508,True,mse,25,,2,25,False,0.00038923697414343193,0.46332328592349636,7.252360611483813,9.923054099456555,True
0.9988974446416657,1.3789441481262108,20.543087075323466,1.702781319618225,True,mse,50,,2,15,False,0.0003870154089975947,0.4609188369338071,7.2109678542960225,4.358806829565823,True
0.9988843218557406,1.4470757012691213,20.78759410337893,2.779740071296692,True,mse,37,,6,25,False,0.0003730633396750713,0.4340765504371439,6.951009410660445,7.792173952802451,True
0.9988843218557406,1.4470757012691213,20.78759410337893,4.258202123641968,True,mse,25,,6,25,True,0.0003730633396750713,0.4340765504371439,6.951009410660445,9.66992722985558,True
0.9988813426433097,1.6900635590809763,20.843103534192817,1.5020731210708618,True,mse,25,sqrt,2,15,True,0.0003398285862949367,0.464571490836986,6.331771176994368,1.0171451665048743,True
0.9988795292645823,1.4313610486711397,20.876890859983437,1.9778114080429077,True,mse,50,,4,15,True,0.0003833156561003493,0.45902471817350404,7.142033133376103,3.8394603705808543,True
0.99885509575809,1.5105896650234727,21.33214206132738,1.743776226043701,True,mse,50,,6,15,False,0.00037703010610102894,0.43936944736594596,7.024919194401023,4.510588906243815,True
0.998828542796471,1.875673296675688,21.82688348045281,1.5492906093597412,True,mse,37,sqrt,4,25,True,0.00034263257207858486,0.41776908175461164,6.384015741111627,0.7797318409213996,True
0.9988217426640038,1.4214542440222604,21.953585248615045,186.13179163932801,True,mae,37,,4,15,True,0.00046618000572151794,0.4839454212947304,8.685982411605226,586.6792058651179,True
0.9988217426640038,1.4214542440222604,21.953585248615045,202.9095205307007,True,mae,25,,4,15,False,0.00046618000572151794,0.4839454212947304,8.685982411605226,640.8250415822496,True
0.99881468340973,1.7351736108066664,22.085115039058447,1.1209192991256713,True,mse,25,sqrt,2,10,True,0.0003746100033616356,0.5091255502866984,6.97982723513469,0.3187233831482893,True
0.9987998177058856,1.4592090378369424,22.362096549515282,330.9586381196976,True,mae,50,,6,25,True,0.0004868152234456627,0.4764500173234823,9.070462947045494,1044.02714034896,True
0.9987998177058856,1.4592090378369424,22.362096549515282,319.9640701532364,True,mae,50,,6,25,False,0.0004868152234456627,0.4764500173234823,9.070462947045494,1010.7803258647062,True
0.9987772236725425,1.949492010321889,22.78307422727068,15.491175055503845,True,mae,25,sqrt,4,25,True,0.00036811906276136737,0.390742947948629,6.858886407135538,46.11708688603775,True
0.9987489571444984,1.8952576579262002,23.309743244417223,5.894074583053589,True,mae,37,sqrt,2,10,True,0.0003763252644578367,0.47521661818807537,7.011786408694705,17.116792135459246,True
0.9987335200005374,2.0731159735822695,23.597371969989048,8.255811786651611,True,mae,50,sqrt,4,15,True,0.00035204791158648905,0.3985913995205221,6.559444700657682,24.187778865303816,True
0.9986558236413051,1.5355475439794093,25.045029959289213,0.9697553396224976,True,mse,37,,2,5,False,0.0004782057163363876,0.5291089238005796,8.910048458208534,1.813252760073967,True
0.9986168849164935,1.7034129230343802,25.770546014664404,0.9448566198348999,True,mse,37,,6,5,False,0.0004572722816953762,0.48807166365284205,8.520011470618881,1.5910744508954517,True
0.998605660702305,1.8861212482482757,25.979678379479186,0.5510241270065308,True,mse,16,sqrt,2,5,False,0.00044186991697500597,0.5874553003024968,8.233030760557453,0.21213863911665296,True
0.9984269419756702,2.6049362045835593,29.309610373818884,1.1666252136230468,True,mse,25,log2,2,10,True,0.0004636983670858525,0.5632346623915655,8.639743900135853,0.6197139893853969,True
0.9983409376157913,3.0195021347186493,30.912065108169735,0.7934802293777465,True,mse,25,log2,6,25,False,0.00036883909658260843,0.38311367807660085,6.872302257302076,0.7158681409293548,True
0.9982077248561554,2.595477744457662,33.39411854889913,4.387803959846496,True,mae,25,sqrt,6,5,True,0.00042228014447232985,0.418185294607243,7.868029221844228,12.046424984415477,True
0.998178530016666,3.176705504148937,33.93808409697582,7.820819973945618,True,mae,25,log2,4,25,True,0.0003388061378434763,0.3328854238701899,6.312720661834293,21.500489753962828,True
0.9980157933814402,3.1695334082371236,36.97023376866308,3.3930821418762207,True,mse,25,sqrt,4,20,True,0.00031058636103017154,0.10913719104677429,5.78692272530411,1.0128619063633881,False
0.998011090637965,3.3864120036392995,37.057856460778055,7.690244436264038,True,mae,25,log2,6,25,True,0.00035567639319488385,0.33897776085201936,6.627051477105613,21.037914366397246,True
0.9979554918841826,2.62660569777058,38.09378634093874,23.538125228881835,True,mse,25,,2,25,False,0.000448187619671256,0.15501270881102902,8.350743776619645,3.444874517681062,False
0.9979554918841826,2.62660569777058,38.09378634093874,21.033710741996764,True,mse,50,,2,25,True,0.000448187619671256,0.15501270881102902,8.350743776619645,1.3919691213674483,False
0.9979303346151548,2.6587907222330425,38.562522866780114,22.2638409614563,True,mse,25,,4,25,False,0.0004681586593156897,0.1621595541419133,8.722849180034865,3.336824005419963,False
