fit_time,score_time,test_nbaccuracy,test_accuracy
0.565178632736206,0.024634838104248047,0.9973404255319149,0.998162890385793
0.5421929359436035,0.026187658309936523,0.9974059662775616,0.9963257807715861
0.5893187522888184,0.02400827407836914,0.9950738916256158,0.9963257807715861
0.5325465202331543,0.028394222259521484,0.9983374896093101,0.9975505205143906
0.5519359111785889,0.023538827896118164,0.9986357435197818,0.998162890385793
0.5647737979888916,0.023819446563720703,0.9991015274034142,0.9987752602571953
0.530470609664917,0.027500152587890625,0.9986338797814208,0.9981617647058824
0.5818557739257812,0.028780460357666016,0.9980552584471932,0.9981617647058824
0.5816848278045654,0.024391651153564453,0.9962409514408423,0.9969362745098039
0.5533368587493896,0.028179168701171875,0.9981684981684982,0.9975490196078431
